,team,adjoe,adjde,TO%,FTR Def,3pD%,2p%,Adj_OtoD_Margin,gilgo_score,date
295,Utah Tech,97.35366792964048,107.86574105751872,22.3,42.2,33.4,48.4,-10.512073127878239,-15.324464608005725,2024-02-04
317,Le Moyne,102.1200108363985,116.13505908566762,16.5,28.3,35.5,48.3,-14.015048249269114,-15.358229432054161,2024-02-04
312,Northern Arizona,98.24082872566416,110.71857627658603,18.1,39.4,32.1,50.0,-12.477747550921876,-15.404126006062345,2024-02-04
298,Alcorn St.,106.54520315958558,118.43746802067032,17.7,37.6,38.5,45.9,-11.89226486108474,-15.446481565261694,2024-02-04
319,Coastal Carolina,100.41755032579138,114.55924296686828,18.3,29.7,34.2,50.8,-14.1416926410769,-15.68978251105691,2024-02-04
311,Delaware St.,93.08774449216524,104.75542936184276,21.5,36.3,37.2,45.4,-11.667684869677515,-15.737337770503283,2024-02-04
313,Western Michigan,99.6119587317512,112.63984138812074,20.5,32.800000000000004,34.9,49.9,-13.027882656369542,-15.75280842038542,2024-02-04
310,Sacramento St.,99.33245908050787,111.51270453947129,23.200000000000003,33.900000000000006,35.7,50.6,-12.180245458963412,-15.835199729967684,2024-02-04
304,Jacksonville,100.68303217750616,112.25527708285549,20.9,41.7,36.2,49.4,-11.572244905349322,-15.883219392263086,2024-02-04
320,South Dakota,100.8232721530409,115.25080661611015,19.2,26.6,36.3,48.2,-14.42753446306925,-15.971496022472243,2024-02-04
326,Manhattan,95.20741679814586,109.6529023913196,20.5,27.500000000000004,34.8,48.0,-14.445485593173743,-16.17099621183598,2024-02-04
315,UT Rio Grande Valley,97.07995000451986,110.29349586210796,19.8,38.2,32.6,46.1,-13.213545857588102,-16.18336297312874,2024-02-04
322,William & Mary,100.81580387672824,115.60361767627478,16.5,34.0,35.3,50.5,-14.78781379954654,-16.28056641772339,2024-02-04
331,North Carolina A&T,99.73303059224222,115.57444911057668,13.5,30.8,35.6,45.5,-15.841418518334464,-16.294065296184023,2024-02-04
314,Presbyterian,100.57961150276635,114.0929475025726,17.0,43.9,33.9,52.1,-13.513335999806245,-16.35278495988181,2024-02-04
323,Eastern Illinois,95.22850980987724,109.20282156836689,16.400000000000002,37.4,36.0,42.9,-13.974311758489648,-16.369430172678687,2024-02-04
316,Grambling St.,94.32788453174942,107.2017206955618,21.8,35.0,37.4,46.6,-12.873836163812385,-16.381940059925554,2024-02-04
318,Northwestern St.,99.06835620000712,112.74580366097598,20.3,38.5,33.4,48.4,-13.677447460968864,-16.57339295119101,2024-02-04
325,Fairleigh Dickinson,99.92168988858188,115.0522726108434,16.900000000000002,32.6,36.4,47.6,-15.130582722261522,-16.600955460579527,2024-02-04
308,Bethune Cookman,97.76093910989157,109.42424053494346,21.0,48.9,35.4,47.7,-11.663301425051898,-16.615763869281658,2024-02-04
335,Eastern Michigan,96.77082091934491,112.90220598878072,17.2,32.0,33.6,49.6,-16.131385069435808,-16.921744892355843,2024-02-04
339,Dartmouth,90.6926484154761,107.28425765225128,19.0,25.2,34.3,47.5,-16.591609236775184,-16.988081634432863,2024-02-04
324,NJIT,97.56553276802757,112.2198757395118,17.8,39.900000000000006,35.2,44.8,-14.65434297148424,-17.132199212605386,2024-02-04
327,Arkansas Pine Bluff,105.4528727740474,121.73020051146996,17.299999999999997,33.5,33.6,47.5,-16.277327737422553,-17.230819919827756,2024-02-04
329,Texas A&M Commerce,94.41748098938388,109.17887537206016,17.7,42.6,34.2,48.5,-14.761394382676286,-17.242150573432536,2024-02-04
333,Navy,97.75299345363638,113.81188781395326,15.3,38.2,33.0,44.0,-16.058894360316884,-17.2580255597933,2024-02-04
336,Army,92.7547871109177,108.62599610386944,19.4,32.5,33.5,45.7,-15.871208992951736,-17.28838748570056,2024-02-04
334,Hampton,98.62552632017297,114.9079907880114,18.8,32.0,35.3,48.9,-16.282464467838437,-17.43970332538145,2024-02-04
332,New Orleans,101.0286642759932,117.17922955796811,17.5,40.1,34.2,43.6,-16.15056528197492,-17.969194822004702,2024-02-04
343,Tennessee Tech,97.01733340622432,115.39245914760993,17.599999999999998,26.200000000000003,35.8,49.8,-18.375125741385602,-17.985326702245217,2024-02-04
328,Incarnate Word,99.12222619100336,114.55688989423636,21.0,40.400000000000006,35.1,48.3,-15.434663703233,-18.079544858972127,2024-02-04
321,South Carolina St.,99.17133765798653,113.59155862066926,19.6,50.0,34.2,44.5,-14.420220962682734,-18.165134787236468,2024-02-04
338,Pacific,96.6331080789065,114.17765219210769,17.299999999999997,37.1,35.0,47.8,-17.544544113201184,-18.44342190905272,2024-02-04
337,Cal Poly,92.97726873282656,109.10415102371437,19.2,43.1,33.8,43.7,-16.126882290887806,-18.485848197441562,2024-02-04
330,Southern Indiana,94.84887180473535,109.7371875361174,21.2,47.6,34.2,43.5,-14.88831573138205,-18.52507259614305,2024-02-04
344,Houston Christian,95.25152411360231,113.62018309543409,21.8,28.4,31.3,47.5,-18.36865898183177,-18.60168197891738,2024-02-04
340,Central Arkansas,98.74230194805033,116.90556818680336,18.3,34.300000000000004,37.9,44.8,-18.16326623875304,-19.04904240563935,2024-02-04
347,Holy Cross,99.68272188174907,119.89719486216984,17.4,31.0,37.5,49.2,-20.214472980420766,-19.676528518056667,2024-02-04
350,Stonehill,91.3847098153324,111.23623127395727,20.1,30.5,34.2,46.4,-19.851521458624873,-19.681978089761174,2024-02-04
346,Loyola MD,94.97556191185176,113.88260147271691,21.5,32.2,37.5,47.8,-18.907039560865158,-19.721994132127744,2024-02-04
349,Buffalo,94.83663966515437,115.3565798437715,20.4,26.6,36.7,50.7,-20.519940178617134,-19.846463508956447,2024-02-04
342,Prairie View A&M,94.56168685328976,112.43291423936785,17.7,50.3,33.6,44.0,-17.87122738607809,-19.946098705507634,2024-02-04
341,Morgan St.,98.6932338399811,117.2745952195923,20.7,42.0,35.2,48.1,-18.581361379611195,-20.11223044156283,2024-02-04
348,LIU Brooklyn,93.84809683341172,113.87383900857918,20.0,39.1,31.9,46.6,-20.025742175167466,-20.385552726852154,2024-02-04
345,Florida A&M,97.9795369662676,117.00270893434168,20.3,42.3,38.8,45.2,-19.02317196807408,-20.717584900525186,2024-02-04
353,Siena,90.24191828607748,111.01053596584252,24.5,27.9,35.9,47.0,-20.768617679765043,-20.855506784656676,2024-02-04
354,VMI,90.9544956698759,112.32820504782184,21.8,30.9,35.1,47.3,-21.373709377945943,-20.978512720547027,2024-02-04
351,Lindenwood,94.2084178520899,114.96494336953046,18.1,42.0,37.4,44.5,-20.756525517440565,-21.286280565638744,2024-02-04
356,IUPUI,93.83344993516812,116.26725867233992,20.6,32.6,37.5,49.2,-22.433808737171802,-21.7175233296748,2024-02-04
355,St. Francis PA,93.70329775301968,115.8966014824926,21.2,35.0,35.2,45.1,-22.193303729472916,-21.835015274978478,2024-02-04
358,Maryland Eastern Shore,88.35186654259928,110.51703134972934,19.4,38.5,33.2,39.7,-22.165164807130054,-21.844700532349332,2024-02-04
357,Detroit,93.50832066500692,116.71393252446076,19.4,31.9,37.1,48.0,-23.20561185945384,-21.92527323426684,2024-02-04
359,Southeast Missouri St.,89.19636313945037,111.69930738836943,19.2,44.8,32.1,45.7,-22.502944248919064,-22.33819599184063,2024-02-04
352,Alabama A&M,94.36636248592085,115.36438228260542,22.4,47.8,38.2,46.0,-20.998019796684574,-22.717292075977593,2024-02-04
360,Coppin St.,83.69556545614338,107.68388966723192,23.5,36.0,32.4,42.2,-23.98832421108854,-23.272877768764005,2024-02-04
361,Mississippi Valley St.,84.90321528895211,119.71250319361364,24.8,43.2,36.7,41.9,-34.80928790466153,-31.118265621843538,2024-02-04
