,team,adjoe,adjde,TO%,FTR Def,3pD%,2p%,Adj_OtoD_Margin,gilgo_score,date,TO%_scaled,FTR Def_scaled,3pD%_scaled,2p%_scaled,Adj_OtoD_Margin_scaled,gilgo_score_v2,projected_points
27,UCLA,114.3883109,94.15396241,17.1,39.1,33.3,54.5,20.23434848,4.785302575,1/24/25,0.700787402,0.421465969,0.496598639,0.640816327,0.739931967,0.666254941,
46,USC,114.3854477,98.77389281,16.7,34.3,31.4,54.6,15.61155494,2.636398512,1/24/25,0.732283465,0.547120419,0.62585034,0.644897959,0.68152755,0.664649762,
45,Ohio St.,113.9268224,98.20899247,16.3,39.3,29.2,54.4,15.71782992,2.470926249,1/24/25,0.763779528,0.416230366,0.775510204,0.636734694,0.68287023,0.664525152,
43,Villanova,123.9812081,106.8757885,15.7,33.3,36,53.2,17.10541958,3.399155941,1/24/25,0.811023622,0.573298429,0.31292517,0.587755102,0.70040105,0.661587808,
59,TCU,107.9196287,95.17213984,16.6,27.4,29.7,48.6,12.74748889,1.507268222,1/24/25,0.74015748,0.727748691,0.741496599,0.4,0.645342914,0.660796141,
72,Saint Joseph's,110.2436211,99.04001609,16.6,25.7,31.7,53.7,11.20360498,0.71744904,1/24/25,0.74015748,0.772251309,0.605442177,0.608163265,0.62583747,0.659150453,
67,UC San Diego,112.1470085,99.91808209,14.3,32.4,35.8,56.3,12.2289264,0.852845106,1/24/25,0.921259843,0.596858639,0.326530612,0.714285714,0.638791391,0.656014141,
36,New Mexico,112.7133056,95.40848912,15.7,33.9,35.5,50.4,17.30481646,3.420688039,1/24/25,0.811023622,0.557591623,0.346938776,0.473469388,0.702920232,0.655702946,
42,VCU,111.0970499,95.41861971,17.4,35.7,30.9,54.8,15.67843021,2.474692425,1/24/25,0.677165354,0.510471204,0.659863946,0.653061224,0.682372453,0.655391759,
81,St. Bonaventure,110.7349768,100.6377179,15.9,23.8,32.9,52,10.09725886,0.190827906,1/24/25,0.795275591,0.821989529,0.523809524,0.53877551,0.611859883,0.654529158,
64,Oregon St.,116.3080284,103.2122831,17.1,31.4,31.5,55.7,13.09574535,1.330704663,1/24/25,0.700787402,0.623036649,0.619047619,0.689795918,0.649742789,0.654275788,
53,Xavier,112.7943429,98.05973028,16.6,30.4,32.7,49.6,14.73461267,2.228913726,1/24/25,0.74015748,0.64921466,0.537414966,0.440816327,0.670448254,0.651427373,
68,Stanford,115.9535677,103.4635314,15,35.6,31.8,52.4,12.49003626,0.798322119,1/24/25,0.866141732,0.513089005,0.598639456,0.555102041,0.642090255,0.649362575,
55,Northwestern,111.1224576,97.12437134,14.9,35.3,33.1,50.3,13.99808626,1.59608262,1/24/25,0.874015748,0.520942408,0.510204082,0.469387755,0.661142972,0.649349839,
44,McNeese St.,113.4307582,97.78116955,16.6,38.2,31.9,53.8,15.64958862,2.247749059,1/24/25,0.74015748,0.445026178,0.591836735,0.612244898,0.682008068,0.647825706,
65,Indiana,111.4971503,99.08635706,17.5,27.9,32.3,53.1,12.41079326,1.030933889,1/24/25,0.669291339,0.714659686,0.56462585,0.583673469,0.641089098,0.644747457,
