,team,adjoe,adjde,TO%,FTR Def,3pD%,2p%,Adj_OtoD_Margin,gilgo_score,date,gilgo_score_v2
67,Maryland,106.071393,95.11474572,0.458333333,0.527108434,0.39516129,0.381818182,0.613739115,0.507968915,1/23/25,0.541220291
76,Minnesota,113.810379,103.1187897,0.475,0.409638554,0.64516129,0.645454545,0.609761252,0.505068374,1/23/25,0.575933194
65,UCF,106.5713047,95.29783897,0.5,0.707831325,0.491935484,0.322727273,0.618493776,0.501674528,1/23/25,0.571644233
86,McNeese St.,110.9830961,101.6325138,0.166666667,0.53313253,0.443548387,0.536363636,0.589636054,0.501238411,1/23/25,0.502597886
84,Miami FL,110.668282,101.2178705,0.433333333,0.189759036,0.435483871,0.509090909,0.591134244,0.500473337,1/23/25,0.505934153
68,Kansas St.,107.906035,96.80151242,0.766666667,0.515060241,0.266129032,0.522727273,0.615958358,0.498936893,1/23/25,0.588599356
83,South Florida,110.5150922,101.0130473,0.3,0.560240964,0.290322581,0.413636364,0.591909134,0.497560181,1/23/25,0.501768608
77,Duquesne,107.012672,97.04237531,0.45,0.572289157,0.314516129,0.409090909,0.598936433,0.495457834,1/23/25,0.531247316
92,Yale,109.9077232,101.1259337,0.191666667,0.403614458,0.532258065,0.522727273,0.581099883,0.494669396,1/23/25,0.49528706
82,Indiana,109.9938055,100.1818142,0.458333333,0.469879518,0.516129032,0.590909091,0.596560663,0.494068416,1/23/25,0.555410961
81,VCU,108.0382469,98.39376157,0.516666667,0.545180723,0.274193548,0.477272727,0.594046812,0.49010669,1/23/25,0.53825672
94,Saint Joseph's,110.4188118,101.6528404,0.375,0.38253012,0.411290323,0.572727273,0.580862492,0.488904215,1/23/25,0.514156216
80,Florida St.,110.7351141,100.7852097,0.366666667,0.753012048,0.60483871,0.504545455,0.598630397,0.488533307,1/23/25,0.571365106
98,Charleston,113.7649674,105.4858362,0.191666667,0.40060241,0.532258065,0.55,0.573556225,0.488252229,1/23/25,0.493140515
89,Memphis,111.888666,102.7032435,0.5,0.409638554,0.491935484,0.568181818,0.587157415,0.48576671,1/23/25,0.546054139
99,Appalachian St.,106.6136155,99.28403312,0.266666667,0.141566265,0.338709677,0.613636364,0.559305847,0.484732412,1/23/25,0.458672103
88,Samford,112.5151212,103.1370742,0.483333333,0.641566265,0.475806452,0.663636364,0.590048233,0.482825291,1/23/25,0.575533973
85,LSU,110.8351676,101.4016842,0.55,0.53313253,0.451612903,0.504545455,0.590880195,0.482711999,1/23/25,0.558669216
87,UCLA,107.9775086,98.95518425,0.375,0.596385542,0.467741935,0.218181818,0.584709716,0.480635001,1/23/25,0.51090623
95,Massachusetts,111.1714949,102.3893643,0.333333333,0.680722892,0.451612903,0.554545455,0.581105002,0.480377176,1/23/25,0.539856392
