rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
11,Illinois,B10,15-5,120.60260376369956,10,97.50329463276245,40,0.9202001161076623,11,22.051945825598658,8.948054174401342,13.051945825598654,6.948054174401341,6-3,0.6157165656852479,0.47834895028683416,0.7836103178388646,0.6878005084412308,0.478348950286834,0.8029988654261488,0.6935078261511248,0.8266076428901374,107.9193684030502,101.51107287943573,110.67872106823674,100.86116844650392,123.1958165007019,98.02523879507987,132.80523068949253,111.6947900947436,0.8798283771338482,6,-0.029539913728547362,723.0,645.0,628.75,1.1499005964214712,1.025844930417495,0.8188622225430179,0.6666666666666666,1.6480647521428209,27,238,70.39206653130545
12,Saint Mary's,WCC,15-6,112.79213889503008,66,91.24453359018071,2,0.9196824986529367,12,23.725541797230633,7.274458202769368,14.725541797230633,1.2744582027693672,6-0,0.5436040201640674,0.5788903627725115,0.4553881636429571,0.5237500686310252,0.5788903627725115,0.47205604287338193,0.827042645677642,0.8041326507704932,107.28536840104339,104.07965074446024,106.90343352230948,104.84904650005375,122.33986308527979,90.41472034439634,120.43296123935242,109.36045026845642,0.7519622976992882,6,-0.12985380968366989,470.0,323.0,378.175,1.2428108679843988,0.8541019369339591,0.48205677041163675,1.0,-0.46643350460585475,68,357,62.83016545491279
13,Wisconsin,B10,16-4,122.33287347155962,4,99.30986767717823,58,0.9166563259221759,13,22.93067585222353,8.069324147776474,14.930675852223526,5.069324147776474,8-1,0.7021113133314081,0.621000659979776,0.8012465563167359,0.7428456087304831,0.6210006599797758,0.8098603305433716,0.6570027155286459,0.7174271737374228,110.34307257115874,100.24732839140292,111.62276091328522,99.27406167425241,126.08914565452454,98.49789957915242,134.24258731544745,109.81440785845658,0.9096897738174652,8,0.07452877456064932,699.0,615.0,581.9374999999999,1.2011599183761146,1.0568145204596715,0.8169079640015281,0.8888888888888888,4.173863422116401,5,55,64.83392026902209
14,Michigan St.,B10,12-8,116.71473008967024,26,95.0671502315367,17,0.9136640267397168,14,19.65017256787429,11.34982743212572,11.650172567874282,8.349827432125718,4-5,0.6747408267865034,0.5733974337921399,0.7986049737796146,0.7166073461304587,0.5733974337921396,0.7953727979165344,0.6899841556432967,0.7825704990119081,111.54160262784637,102.54154370373843,112.55179390191228,101.74546613181838,115.02240143690318,99.51566884721218,124.81244418417597,108.73846909280965,0.8299771183272572,9,-0.12770878099226723,637.0,628.0,587.9499999999999,1.0834254613487542,1.0681180372480654,0.7927282903921964,0.4444444444444444,-0.1838732002967548,65,355,66.24566506607304
15,Marquette,BE,15-5,115.28949095541412,42,94.2781137730297,14,0.9100108878154237,15,21.77815392570608,9.22184607429392,12.77815392570608,7.22184607429392,6-3,0.6779068012244301,0.6347556740633477,0.7306470677546422,0.7174818717583296,0.6347556740633477,0.7629812804905695,0.659543508904315,0.6932930081432859,110.71913393037259,101.08259513655175,111.91523895534358,100.46520711450563,110.84230621762407,93.67668944744355,114.30499704870343,94.46071772433758,0.8996093554313842,8,0.03690493406330031,668.0,613.0,627.5375,1.0644782184331614,0.9768340537418082,0.7894365454563281,0.6666666666666666,2.8929149206421774,12,102,69.83195329733279
16,Creighton,BE,16-5,115.45782875607966,38,95.17547628362979,18,0.9021729337144674,16,22.046055431221596,8.953944568778406,13.046055431221594,6.953944568778406,7-3,0.6412746655163009,0.5782177834839939,0.7106372357518387,0.6979366643739182,0.5782177834839939,0.7637820488633766,0.6887113061169334,0.779324913862672,109.93351196880542,102.8545850966499,111.31339931172889,101.57346756812706,109.88158323999785,91.57755430264672,111.42367613481886,90.07173353128648,0.9203003303960137,6,0.02703115449784721,744.0,679.0,702.675,1.058810972355641,0.9663073255772584,0.8169268619749145,0.7,2.626501943905974,15,120,66.66155457929686
17,Kansas,B12,16-4,117.48551521418966,21,97.03728838440286,33,0.9001620919417487,17,21.702687018886273,9.297312981113729,9.702687018886271,8.29731298111373,4-3,0.6299558291519942,0.5363549433662679,0.8037860456112,0.7113772590144206,0.5363549433662679,0.8377822647603086,0.6545920455903024,0.7763908684308176,108.58317314437076,100.50485777619717,111.05207033306435,98.7085806184868,123.1962390673691,101.15909408158225,117.13895366397084,95.63899418121929,0.9114906216073715,7,0.07010133778997285,545.0,517.0,485.5999999999999,1.1223228995057664,1.0646622734761122,0.859416222400651,0.5714285714285714,3.2475316182586487,8,58,69.12514168064973
18,St. John's,BE,13-7,115.96940734959213,35,96.2595316690036,31,0.8949378243442392,18,20.34996965899328,10.65003034100672,12.349969658993277,7.650030341006721,5-4,0.6919450383168637,0.5626085069701247,0.8500230210739893,0.6928740105713206,0.5626085069701247,0.7645200375519783,0.6988052688837463,0.8110757883900205,110.81207374501832,101.75854612712007,111.15073864044298,101.80405828324116,116.59519882924484,92.9188262852116,123.1848433748871,102.38755509282812,0.8934608248380711,8,-0.05134927834977587,660.0,618.0,615.0125,1.0731489197374036,1.0048576248450234,0.6945630510339694,0.5555555555555556,0.8060077910135514,42,277,69.64698521071027
19,SMU,Amer,13-6,112.80244205897552,65,93.78724789853044,12,0.8931190751031801,19,22.838433579112902,8.161566420887098,13.8384335791129,4.161566420887097,4-2,0.5263372869279189,0.4885982412069325,0.6081052193233897,0.5479675445225715,0.48859824120693235,0.5908453746949776,0.8193107292509455,0.8258835459854794,106.17667925661715,103.51249037760209,107.4620102059699,104.47072675250526,112.78080139393266,93.08720646439403,118.95666585924533,97.74052965092984,0.9054320903617612,4,-0.11945556842961835,446.0,382.0,407.3625,1.0948479548313848,0.9377397281291233,0.5822154523807717,0.6666666666666666,-0.9622467309866778,76,351,68.0204019896755
20,Dayton,A10,16-3,119.84886467621885,12,99.7407123420596,66,0.8920700040079717,20,24.82152557514484,5.17847442485516,14.82152557514484,3.17847442485516,6-1,0.6195160595941064,0.6358019083494911,0.5915974617277328,0.621426882382202,0.6358019083494911,0.6118435317373428,0.7722272756683635,0.7126449009405006,108.03180209486568,101.65687163374295,107.854369075739,101.97694971563958,113.19288392361919,91.41068699242146,123.04348892984295,103.0541978432298,0.8848061701398939,6,0.105576252323907,504.0,431.0,454.62499999999994,1.1086059939510586,0.9480340940335442,0.6247273944707309,0.8571428571428571,3.3729426319444302,7,24,63.35847553446369
