,team,adjoe,adjde,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
21,Marquette,119.9,95.8,0.93,3–3,3,6,53.6,46.9,24.8,30.7,14.9,17,25.6,32.5,69.3,58,47.5,32.6,30.6,7.9,6.7,47.6,57.4,48,35.8,68.5,77.724,80.58,2.084,"2,025",0,0,62.664,,67.4,74.8,1.084,1.03,42.688,Marquette
22,Oklahoma,126.4,101.3,0.927,3–3,3,6,58,54.1,40.2,39.4,15,15.7,21.4,30.3,71.1,56,57.4,40.6,33.1,2.9,7.5,50,50.3,40.8,42.5,69.6,77.138,80.403,2.256,"2,025",0,0,48.517,,81.6,72.9,1.179,1.139,53.416,Oklahoma
23,Illinois,126.3,101.5,0.925,4–1,4,5,55.5,53.1,31.2,23.2,13.8,12.1,35.7,26.6,71.1,58.1,52.3,34.9,36.6,7.2,8.1,58.6,50.3,46.4,31.3,69.6,78.84,82.012,1.177,"2,025",0,0,74.592,,77,70.7,1.218,1.114,44.803,Illinois
24,Texas A&M,121,97.3,0.925,2–3,2,5,45,51,50.6,39.7,17.7,14.4,43.1,28.4,67.7,42,45.9,33.6,38.6,10.6,16,41.3,59.8,35.5,42.8,66.4,77.361,79.763,2.764,"2,025",0,0,69.423,,72,76.3,1.103,1.106,52.004,Texas A&M
25,Louisville,114.2,91.9,0.924,6–1,6,7,53.2,45.5,33.8,26.2,17.8,17.6,27.8,30.6,68.1,54.9,42.1,33.8,33.2,7.7,9.9,47.8,46,40.7,44.9,69.6,78.008,81.168,2.555,"2,025",0,0,20.225,,73.7,75.7,1.082,0.983,33.006,Louisville
26,Kansas,120.3,97.1,0.922,3–3,3,6,52.8,51.1,31.2,25.9,17.1,14.2,30.2,29.6,68.7,50.8,49.3,37.7,35.7,11.1,11.3,59.5,46.4,33.7,40.6,68.3,77.963,82.013,2.526,"2,025",0,0,65.96,,69.9,79.6,1.093,1.103,55.225,Kansas
27,VCU,119.8,96.9,0.92,6–1,6,7,51.4,43.8,34.9,30.1,17,16.7,38.7,31.9,63.2,55.4,42.4,31.1,30.8,13.6,8.9,50,52.3,45.8,36.9,65.2,78.096,81.568,2.233,"2,025",0,0,34.315,,78.1,73.1,1.155,0.981,17.5,VCU
28,Penn St.,118.6,96,0.919,1–2,1,3,57.1,50,35,29.7,19.1,14.5,18.4,25.7,71.4,53.3,44.1,42.9,40.3,14.4,9.3,58,67.1,34.4,36.2,70.1,77.903,81.137,2.275,"2,025",0,0,57.579,,73.7,74.5,1.065,1.056,59.219,Penn St.
29,Baylor,120.6,97.7,0.919,3–3,3,6,48.7,46.4,28.5,32.5,15.8,16.1,36.7,33.6,62.1,49.3,44.9,31.9,32.4,5.6,9.4,53.1,50,41,41,63,76.961,79.571,1.871,"2,025",0,0,56.146,,70.4,71.3,1.085,1.034,48.191,Baylor
30,Clemson,112.1,91.1,0.916,5–1,5,6,48.7,47.6,31.2,29.3,15,19.9,34,24.1,65.5,52.3,49.3,27.3,29.8,8.9,9.5,47.1,48.5,31.2,36,66.8,77.87,81.701,2.503,"2,025",0,0,51.614,,75.5,75.3,1.087,0.947,27.024,Clemson
31,Connecticut,127.4,103.9,0.913,5–1,5,6,57,49,25.6,36.3,17.2,12.3,40.7,23.2,61.2,57.3,50,37.7,31.7,16.5,7.8,56.3,42.1,38.7,39.5,62.3,78.167,80.841,1.638,"2,025",0,0,87.492,,84.9,70.8,1.242,1.048,27.028,Connecticut
32,Purdue,131,107.3,0.909,3–2,3,5,56.1,54,27.6,34.5,12.6,14.4,34.2,33.5,65.1,52.2,59,41.3,31.7,3.7,6.1,49.3,64.2,40.2,43.3,63.8,77.045,80.639,1.484,"2,025",0,0,73.946,,74.7,76.5,1.229,1.174,42.924,Purdue
33,Oregon,112.4,92.4,0.905,4–1,4,5,52.2,44.2,31.1,28.4,18.2,16.2,31.1,30.6,67.6,56.5,43.2,30.4,30.9,10.3,10.2,53.7,59.8,38.8,31.3,66.8,77.427,81.554,2.452,"2,025",0,0,60.009,,76.7,64.8,1.073,0.957,33.782,Oregon
34,Northwestern,113.5,93.6,0.902,3–3,3,6,49.5,47.4,35.8,33.8,15.6,18.5,25.9,33.2,65,49.3,46.8,33.3,32.3,10.9,12.1,67.6,61.8,36.7,39.3,66.1,78.283,81.173,2.211,"2,025",0,0,35.876,,71.8,77.7,1.046,1.029,42.854,Northwestern
35,UCLA,122.7,101.2,0.902,2–2,2,4,53.2,58.7,28.4,28.8,16.5,18.5,37.8,25.9,65,55.2,50,33.3,46.7,11.7,8.4,71.8,62.1,39.4,43.4,65.7,78.101,81.377,1.849,"2,025",0,0,70.64,,71.6,73.8,1.15,1.131,52.279,UCLA
36,Nebraska Omaha,114,94.5,0.896,4–0,4,4,56.6,43.7,34.2,33.1,13.5,13.5,29.8,23.8,70.4,57.8,41,36.5,30.9,8.2,6.8,49.2,42,39.5,50.2,69,77.229,79.995,2.432,"2,025",0,0,0.2,,72.3,66.7,1.19,0.952,7.373,Nebraska Omaha
37,Missouri,130.6,109,0.889,2–4,2,6,56.4,55.2,40.1,44.4,14.6,16.7,35.6,36.8,70.5,56.8,61.1,37.1,30.7,5.1,9.2,45.1,48.6,37.9,39.3,69.1,78.276,81.594,2.197,"2,025",0,0,66.184,,75,82.3,1.222,1.213,49.603,Missouri
38,West Virginia,109.9,91.9,0.887,3–2,3,5,50,48.5,22.5,41.3,18.1,19.6,27,30.2,66.2,49,49.1,34.1,31.6,9.5,8.9,56.6,47.8,45.7,36,65,77.095,80.401,1.882,"2,025",0,0,39.077,,66.2,70.6,1.004,1.007,35.203,West Virginia
39,Mississippi,122.9,102.8,0.886,3–3,3,6,48.6,59,38.7,42.2,13,18,26.4,32.6,69.4,50.9,59.9,29.6,38.7,3.4,10.3,39.4,63.9,35,46.7,68.8,76.185,79.496,2.701,"2,025",0,0,56.397,,76.1,75.7,1.085,1.196,63.796,Mississippi
40,Belmont,103.7,87.1,0.881,3–1,3,4,50.2,43.2,21.6,32.1,19.5,19.2,26.5,25.5,67.8,51.1,46.8,32.6,25.8,11.3,10.2,63.4,54.2,40.9,43.9,72,78.105,80.895,2.04,"2,025",0,0,13.381,,74,76.1,0.995,0.903,16.2,Belmont
41,Michigan,108.5,91.8,0.872,5–3,5,8,47.6,44.1,31.3,29.3,18.3,12.1,30.3,28.8,70.2,53.5,42.5,25.7,30.8,5.8,9.4,59.2,49.2,39.5,42.9,68.9,79.111,83.403,2.239,"2,025",0,0,57.267,,73.6,78.1,0.996,1.019,52.602,Michigan
42,UC San Diego,113.2,95.9,0.871,6–0,6,6,55.2,42.4,31.1,30.6,11.9,23,23.6,30.9,66,53.5,42.3,37.8,28.3,9.1,10.7,68.4,59,53.8,46.5,65.7,77.481,78.923,2.447,"2,025",0,0,14.091,,73.8,81,1.159,0.904,11.619,UC San Diego
43,San Diego St.,112.2,95.5,0.865,3–2,3,5,53.8,48.7,40.1,34.6,15.7,19.7,19.5,31.2,66.1,55.5,50,34.5,31.7,18.5,11.6,60.3,41.8,44.3,52.2,66.8,78.127,81.937,1.611,"2,025",0,0,41.617,,59,70.2,1.042,1.002,25.306,San Diego St.
44,Liberty,122.6,104.5,0.863,6–1,6,7,62.7,48.1,33.5,29.4,14,14,17.3,29.1,66.3,61.6,48.6,42.6,31.5,10.4,9.5,63.6,43.4,49.1,40.1,65.3,75.67,79.4,2.265,"2,025",0,0,2.365,,70.4,69.1,1.197,1.051,13.923,Liberty
45,McNeese St.,117,99.9,0.86,5–0,5,5,56.1,43.1,39.4,19.6,12.5,19.5,27,30.4,68.7,52.1,42.2,42.4,29.5,12.1,10,51.1,51.8,34.3,44.6,69.4,76.833,78.891,2.515,"2,025",0,0,25.961,,74.6,72.1,1.19,0.911,7.925,McNeese St.
46,Cornell,124,106,0.859,4–1,4,5,66.7,49,23.6,31,12.4,14.6,17.9,24.3,72.4,67.8,53.8,43.8,28.9,8.8,2.8,63.1,44.4,53.1,45.4,71.1,76.945,79.452,2.03,"2,025",0,0,2.685,,77.8,69.1,1.279,1.033,8.089,Cornell
47,Oklahoma St.,106.4,91.3,0.853,2–3,2,5,47.3,48.1,34.9,35.7,20.2,21.8,26.1,36.5,74.2,45.8,52,33.7,28.7,8.6,11.8,52.8,53.8,30.5,43.7,74.5,77.015,80.13,2.521,"2,025",0,0,38.024,,73.5,69.4,0.946,1.013,45.338,Oklahoma St.
48,Ohio St.,124.4,106.8,0.853,2–2,2,4,54.7,58.1,45.3,41.5,14.4,16.2,29.7,32.5,66.6,55.3,59,36,37.8,7.2,10.6,54.1,57.8,43.1,39.3,65.5,76.678,79.626,1.599,"2,025",0,0,67.504,,75.2,76.8,1.173,1.194,36.403,Ohio St.
49,Creighton,121.8,104.6,0.852,5–2,5,7,57.2,52.5,23.5,13.2,17.8,11.1,31.3,26.2,63.5,61.9,48.3,34.4,40.4,7.8,11,63.3,46.6,46,33.8,63.7,78.968,83.115,1.954,"2,025",0,0,59.745,,65.3,66.1,1.139,1.104,31.442,Creighton
50,Syracuse,116.8,100.4,0.851,3–3,3,6,54.4,53.6,39.4,38.3,19.4,15,32.8,24.5,66.5,56,55.1,33.7,33.3,5.9,8.2,51.9,46.3,29.1,28.9,67.5,77.679,80.881,2.181,"2,025",0,0,61.278,,70.5,68.5,1.096,1.086,25.663,Syracuse
51,Arkansas,115.9,99.9,0.847,4–2,4,6,52,49.7,45.2,31.6,17.4,13.7,28.6,25.3,71.5,53,47,33.6,36.1,13.1,7.4,53.5,49.7,37.3,37.9,71.4,78.136,81.87,1.364,"2,025",0,0,74.808,,75.5,79.2,1.083,1.08,38.221,Arkansas
52,Indiana,110,94.9,0.845,3–2,3,5,49.2,49.1,29,32.4,15.6,17.1,30.6,24.7,67.8,45.8,50.6,37.4,31.3,9.6,10.4,68.2,54.6,33,40.3,67,78.696,81.524,2.062,"2,025",0,0,79.15,,63.2,80,1.032,1.018,34.875,Indiana
53,Georgia Tech,110.7,95.5,0.845,4–2,4,6,50,46.1,27.9,27,19,13.7,36.3,27.8,66.8,49.1,46.9,34.4,30.1,11.1,14.2,55.8,54.2,35.6,43,68.7,77.833,81.089,1.532,"2,025",0,0,33.602,,78.6,76.5,1.067,1.022,33.164,Georgia Tech
54,Texas,118.4,102.5,0.84,3–4,3,7,50.4,48.9,38.7,50.9,14.6,13.5,27.7,30.3,68.4,48.4,49.2,36.1,32.3,10.5,9,42.6,50,34.5,37.3,68.2,78.026,80.717,2.185,"2,025",0,0,60.878,,74.5,72.2,1.076,1.113,49.846,Texas
55,Colorado,111.5,96.7,0.837,3–4,3,7,48,47.8,33.3,38.9,19.4,15.2,30.2,28.5,67.9,50.8,44.7,28.5,35.4,11.3,10.5,52.7,47.6,34.9,35.9,69.6,78.991,81.626,1.892,"2,025",0,0,43.654,,74.8,66.7,1,1.025,49.673,Colorado
56,Mississippi St.,120.8,105.2,0.831,2–4,2,6,50.5,56,30.9,37.2,13.8,17,31.1,31.3,71.9,54.4,57.1,30.2,36.6,14.7,6.6,49.1,53.2,43.2,47.8,69.8,77.214,80.466,2.053,"2,025",0,0,58.075,,73.2,71.3,1.117,1.151,43.962,Mississippi St.
57,Troy,110.9,96.7,0.829,5–0,5,5,46.9,41.2,51.5,38,14.8,17.4,36,33.3,68.9,51.1,40.8,27,28,16.2,12.4,44.3,48.1,39.2,39.7,68.7,77.8,80.146,1.661,"2,025",0,0,0.2,,77.5,72.6,1.137,0.949,9.793,Troy
58,Iowa,122.1,106.6,0.827,2–4,2,6,55.2,52.9,20.3,38,13.3,11.3,24.9,30.6,67.9,53.4,56,38.7,32.5,9.6,7.2,60.9,55.1,38.9,42.4,66.7,78.116,80.608,1.779,"2,025",0,0,54.344,,71.6,72.5,1.119,1.188,52.342,Iowa
59,Stanford,112.6,98.4,0.825,3–3,3,6,51.9,50.6,19.2,30.7,16.6,19.2,28.3,33.2,63.3,47.9,51.9,38.2,32.2,11.1,2.6,54.1,37.7,42.6,36.2,63,78.641,82.47,1.766,"2,025",0,0,42.331,,81.5,70,1.064,1.053,34.636,Stanford
60,New Mexico,107.9,94.3,0.825,4–2,4,6,47.8,49.7,34.6,32.9,14,21.9,30.6,24.5,70.2,48.6,52,30.8,30.8,12.1,9.9,50.3,57.3,31.6,39.6,72.4,78.318,81.232,2.047,"2,025",0,0,45.924,,68,70.4,1.047,0.955,24.728,New Mexico
61,Cincinnati,109.5,95.7,0.825,2–4,2,6,47,54,19.4,21.7,17,21.5,30.2,30.7,66.7,50,51.3,28.2,40,10.8,5.4,52,50.9,38.8,31.2,66.5,78.28,81.518,2.125,"2,025",0,0,54.633,,67.6,71.2,0.98,1.039,45.419,Cincinnati
62,Saint Mary's,107.9,94.4,0.823,3–1,3,4,45.1,44.5,35.9,25.1,17,8.3,45.5,18.7,60.1,49.7,48.1,22.7,22.8,8,7,50.5,44,29.6,26,59.9,78.408,81.447,1.982,"2,025",0,0,48.461,,70,74.5,1.068,0.981,25.842,Saint Mary's
63,UC Irvine,118.1,103.4,0.822,5–1,5,6,57.5,51.6,33.5,21,16.1,18.6,29,24.2,68.2,59,45.3,36.7,40.1,11.4,6.1,55.8,56.7,37.6,42.2,68,76.605,80.405,1.836,"2,025",0,0,7.357,,85.1,71.2,1.193,1.005,13.451,UC Irvine
64,Winthrop,113.6,99.6,0.819,4–1,4,5,59.2,49.8,38.9,35.1,18,19.3,31.6,30.1,73.4,54,51.7,43.6,31.4,8.4,11,57,43.8,46.2,40.5,72.5,77.079,79.654,2.408,"2,025",0,0,5.755,,61,74.3,1.175,1.025,9.671,Winthrop
65,UNC Wilmington,115,100.9,0.818,6–0,6,6,54,47.4,37.4,27.7,15.2,15,34.4,25,65.7,57.9,47.1,31,31.8,14.8,8.1,53.7,53.6,34.4,44.9,64.1,77.644,80.484,2.555,"2,025",0,0,0.2,,83.3,70.5,1.19,0.995,7.893,UNC Wilmington
66,Vanderbilt,119.4,104.8,0.818,2–3,2,5,48.7,51.9,45.8,58.2,16.3,16.6,32.4,34.3,71.8,48.9,51.4,32.2,35.3,10.8,11.7,51.2,38.9,40.2,35.5,71.6,76.255,78.997,1.973,"2,025",0,0,36.79,,77.5,76,1.089,1.157,49.731,Vanderbilt
67,Boise St.,114.5,100.5,0.818,5–2,5,7,48.2,49.6,39.4,34.9,15.8,15.1,35.6,24,63.3,55.4,44.7,27.6,38.2,9.7,4.9,53.5,45.5,52,38.9,63,78.051,80.18,1.907,"2,025",0,0,13.354,,80.8,69,1.108,1.029,27.585,Boise St.
68,Furman,118.3,104,0.815,4–1,4,5,62.7,50.9,43.4,34.4,16.3,18,25,29.5,67.2,56.5,49.4,45.3,35.1,9.7,8.9,61.3,48.4,54.4,46,68.6,77.854,81.449,2.045,"2,025",0,0,4.174,,69.5,75.5,1.23,1.059,11.468,Furman
69,Northern Colorado,111.5,98.1,0.813,4–1,4,5,58.7,46.5,36,41.9,18.6,16.8,27,19.8,66.7,58.7,45.8,39.2,32.1,4,6.6,46.3,30.8,36.7,31.4,67.9,76.963,79.672,2.479,"2,025",0,0,0.2,,75.8,77.8,1.145,0.971,7.925,Northern Colorado
70,Utah Valley,111.7,98.6,0.808,5–1,5,6,53.9,41.7,52,34.9,19.7,15.4,34,25,70.2,56.3,41.7,31.9,27.7,11.8,10.9,53.5,53.7,29.1,28.5,69.4,78.057,80.758,1.503,"2,025",0,0,2.572,,71.4,72.6,1.111,0.916,9.777,Utah Valley
71,South Carolina,114.4,101.2,0.804,1–4,1,5,46.4,54.3,38.9,34.3,15.7,14.1,27.3,27.2,66.4,50,58.4,27.7,31.4,5.1,14.7,53.2,52.2,43.3,36.4,66.3,77.522,80.767,2.057,"2,025",0,0,40.926,,79.4,72.9,1.023,1.126,51.98,South Carolina
72,Loyola Chicago,111.4,98.7,0.801,4–2,4,6,52.1,48.5,26,35.1,16.9,16.4,31.7,24.6,66.2,51.8,47.3,35,33.3,15.2,9.6,60.5,53.3,44.4,43.9,66.2,77.784,80.194,2.293,"2,025",0,0,13.78,,63,74.8,1.075,1.017,20.154,Loyola Chicago
73,Villanova,114.2,101.2,0.801,3–2,3,5,51.6,51.6,40.6,21.7,15.7,14.1,23.8,23.3,62.3,48.9,48.1,36.6,37.7,7.4,10.8,45.9,57.9,44.6,41.3,63.8,77.311,80.292,2.445,"2,025",0,0,59.91,,74.5,70,1.076,1.05,21.963,Villanova
74,USC,118.4,105,0.799,2–4,2,6,55.1,56.8,37,28.9,21.6,17.6,34.3,33.5,67.2,54,56.7,37.9,37.9,8.4,11,60.8,65.5,39.8,40.3,67.6,78.26,79.825,2.222,"2,025",0,0,48.887,,81.3,73.1,1.108,1.154,42.146,USC
75,DePaul,117.8,104.9,0.792,3–2,3,5,58.3,51.6,24.6,28.3,15.4,15.1,19.1,32.4,65.8,56.2,54.8,40.9,31.2,12.4,6.5,57,51.1,40.5,40.2,65.6,77.158,80.02,2.058,"2,025",0,0,38.77,,70,68.2,1.103,1.106,33.37,DePaul
76,Kansas St.,101.6,90.6,0.789,3–3,3,6,44.5,47,28.2,29.3,17.4,16.7,27.1,27.9,67,49.3,53.4,24,24.8,7.2,11.9,55.1,58.6,36.3,39.7,66.5,77.263,81.178,2.307,"2,025",0,0,47.744,,75.3,69.3,0.943,0.98,40.764,Kansas St.
77,SMU,109.3,97.5,0.788,3–3,3,6,53.3,50,39,35.2,19.4,20.7,29.6,30.7,67,53.6,51.8,35.1,31.5,8.1,9.4,46.4,55.9,29.6,39.8,66.9,77.829,82.288,2.222,"2,025",0,0,59.084,,66.9,73,1.05,1.023,30.04,SMU
78,Utah,115.5,103.1,0.787,1–4,1,5,47.1,53.4,39.2,38.6,17.6,14.7,39.4,27,70.6,49.4,52.8,29.6,36.1,6.3,11,61.4,50,45.2,40.3,69.5,79.647,82.396,2.127,"2,025",0,0,54.119,,68.3,73.7,1.077,1.131,46.384,Utah
79,Washington St.,119.3,106.8,0.781,3–1,3,4,59.7,48.7,32.5,35.7,18.3,17,30.7,36.5,76.3,58.6,49.7,41,31.4,10.2,4.6,67.7,48.7,39.7,37.9,74.7,78.372,81.713,1.656,"2,025",0,0,4.198,,62.2,72.9,1.153,1.088,14.243,Washington St.
80,UCF,116.8,104.6,0.781,3–3,3,6,51.2,48,38.6,29.3,20,16.7,34.4,35.4,73.3,51.2,49.6,34.1,30.4,13.1,14.4,52.5,58.4,45.4,38.5,72.8,77.998,81.872,1.995,"2,025",0,0,51.301,,77.5,69.2,1.084,1.062,37.153,UCF
81,Duquesne,113.8,102,0.779,2–3,2,5,55.5,51.9,31.6,34.4,21.6,20.7,29.9,28.8,66,59.1,50.6,34.1,35.8,11.6,10.1,54.6,52.1,45.2,39.3,67.1,76.827,80.158,2.079,"2,025",0,0,0.2,,68.6,80.6,1.066,1.049,22.138,Duquesne
82,Grand Canyon,114.4,102.8,0.774,6–1,6,7,54.6,47.4,43.8,37.3,16.4,20.2,33.9,32.7,70.7,59.1,42.5,29.6,36.9,13.9,7.7,51.5,57.7,30.4,37.7,70.6,77.889,80.515,2.47,"2,025",0,0,26.711,,73.3,71,1.151,0.999,9.984,Grand Canyon
83,San Francisco,114.2,102.7,0.772,2–2,2,4,50.8,56.7,25.3,41.3,16.1,13.7,32,23.2,71.4,52.7,58.4,31.5,35.8,4.7,6.1,47.4,65.5,35.8,35.2,69.8,77.581,80.977,1.751,"2,025",0,0,26.844,,76.9,69.5,1.089,1.145,41.212,San Francisco
84,Santa Clara,112,101,0.767,1–2,1,3,53.7,53.5,34.6,29.9,16.3,17.2,26.8,21.2,75.7,49.5,61.3,38.7,26.2,6.7,9.5,59,58.9,49.5,35.3,74.2,78.415,81.551,2.442,"2,025",0,0,19.916,,72.3,76.4,1.097,1.053,21.606,Santa Clara
85,Rutgers,115.9,104.6,0.765,1–3,1,4,48.5,57.6,31.5,38.9,13,19.7,28.9,37.1,68.5,52.4,59.5,27.8,36.5,10.1,3.5,41.4,52.8,36.3,39.3,69.4,78.534,81.27,1.275,"2,025",0,0,52.09,,69,70.5,1.058,1.162,46.235,Rutgers
86,Wake Forest,105.7,95.4,0.765,2–3,2,5,44.6,50,31.4,35.2,15.5,17.8,26.6,30.4,68.5,48,51.3,25,32.3,11.9,10,38.3,51.6,32.4,43.7,69.8,77.706,80.788,2.215,"2,025",0,0,69.921,,78.5,74,0.984,1.046,34.352,Wake Forest
87,Drake,107.9,97.5,0.762,5–0,5,5,48.6,49.4,41.7,27.2,15.1,22.3,34.4,26.4,57,51.9,49.6,29,32.7,13.7,10.4,60.6,66.3,39.4,43.5,57.2,77.41,79.116,2.226,"2,025",0,0,0.2,,71.7,68.3,1.108,0.933,10.543,Drake
