,team,adjoe,adjde,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
36,Nebraska Omaha,114,94.5,0.896,4–0,4,4,56.6,43.7,34.2,33.1,13.5,13.5,29.8,23.8,70.4,57.8,41,36.5,30.9,8.2,6.8,49.2,42,39.5,50.2,69,77.229,79.995,2.432,"2,025",0,0,0.2,,72.3,66.7,1.19,0.952,7.373,Nebraska Omaha
37,Troy,118,98.2,0.892,3–0,3,3,51.5,40.8,52.3,32.1,13.6,15.1,34.3,35.7,68.5,55.6,40.2,29.7,27.7,15.9,10.2,44.3,42.4,37.2,43.7,68.8,77.8,80.146,1.661,"2,025",0,0,0.2,,78.9,73.8,1.208,0.974,10.888,Troy
38,Michigan,113.1,94.5,0.888,3–3,3,6,48.3,44.9,28.8,31.3,17.9,11.7,30.7,31.3,69.7,53,43.1,27.3,31.5,5,9.6,59.1,55.1,38.8,43.5,68.3,79.111,83.403,2.239,"2,025",0,0,57.267,,77.7,80.2,1.019,1.062,59.779,Michigan
39,Purdue,129.6,108.8,0.882,2–2,2,4,54.8,54.3,26.9,35,12.1,12.5,35.6,31.5,66.2,52,58.9,39.4,32.4,3.9,6,48.7,60.9,39.8,44.9,64.1,77.045,80.639,1.484,"2,025",0,0,73.946,,76.1,75.6,1.223,1.193,43.299,Purdue
40,Mississippi St.,122.8,103.1,0.882,2–3,2,5,52.3,53.2,33.2,40,12.9,17.6,29.4,30.3,70.9,55.2,57,32.4,32.3,13.3,8.2,49,47.1,43.7,44.1,70,77.214,80.466,2.053,"2,025",0,0,58.075,,73.1,69.5,1.152,1.089,36.021,Mississippi St.
41,UC San Diego,113.5,95.7,0.877,5–0,5,5,55.9,40.4,30.9,30.5,11.7,23.1,23.1,32.4,65,55.8,39.2,37.3,27.9,9.8,10.9,69.8,54.3,54.3,47.4,65.5,77.481,78.923,2.447,"2,025",0,0,14.091,,77,80.7,1.176,0.883,9.443,UC San Diego
42,VCU,116.3,98.2,0.875,4–1,4,5,47.5,42.6,39,32.8,16.9,17.8,38.5,36.7,63.9,53.7,41.4,27.1,29.8,14,10.1,48.3,53.7,47.2,35.9,65.8,78.096,81.568,2.233,"2,025",0,0,34.315,,77.3,74.7,1.104,0.995,20.966,VCU
43,South Carolina,114.8,97,0.874,1–3,1,4,46.6,49.1,37.3,38.7,14.1,15.2,24.8,26.8,65.7,45.2,56,32.3,25.3,5.2,16.9,58.6,52.1,43.6,38.2,65.8,77.522,80.767,2.057,"2,025",0,0,40.926,,78,71.4,1.023,1.038,46.419,South Carolina
44,Liberty,126.4,107.8,0.862,5–1,5,6,64.7,49,33.3,31.5,13.7,13.4,17,29.5,67.1,62.4,49.3,44.7,32.4,10.6,10.3,64.4,42.9,49.1,40.1,65.5,75.67,79.4,2.265,"2,025",0,0,2.365,,72.2,68.4,1.234,1.075,14.956,Liberty
45,Indiana,106.9,91.3,0.86,2–2,2,4,45.6,46.7,24.9,30,14.5,17,30.7,26.5,67.5,44.2,48.1,32.1,29.8,12,10.3,64,55.4,33.7,41.4,67.2,78.696,81.524,2.062,"2,025",0,0,79.15,,64.5,80.9,0.989,0.989,38.791,Indiana
46,Northwestern,112,95.9,0.856,1–3,1,4,47.2,48.8,35.8,40.7,17.4,19.7,25.6,36.1,66.1,50.4,47.7,27.8,33.7,11.5,12.9,64.1,57.1,36.2,39.8,67.1,78.283,81.173,2.211,"2,025",0,0,35.876,,75.6,79.5,1.002,1.063,51.259,Northwestern
47,Wake Forest,104.1,89.2,0.855,2–2,2,4,41.7,46.6,30.2,34.5,15.6,19.2,27.4,33.3,68.8,42.5,48.5,26.8,29.4,13.1,11.9,41.1,50.5,33.9,44,68.7,77.706,80.788,2.215,"2,025",0,0,69.921,,82.2,73.8,0.952,0.999,40.046,Wake Forest
48,New Mexico,108.7,93.2,0.854,4–1,4,5,49.2,48.4,36.6,31.2,13.1,22,30.2,25.5,70,50.7,52.1,30.3,28.4,12.6,7.8,51.1,55.9,29.1,39.5,72.4,78.318,81.232,2.047,"2,025",0,0,45.924,,67,72.1,1.074,0.94,19.422,New Mexico
49,Texas,118.9,102,0.854,3–3,3,6,50.7,48.1,42.8,50.5,14.9,13.1,28,32.3,68.2,48.7,50.2,36.4,29.8,11.6,9.8,39.9,47.7,34.1,38.5,68.4,78.026,80.717,2.185,"2,025",0,0,60.878,,73,71.9,1.083,1.115,48.87,Texas
50,Colorado,112.8,96.8,0.853,3–3,3,6,49.2,47.1,37.2,36.8,19.2,15.8,27.7,30.5,67.7,51.4,42.4,30.1,36.6,11.1,9.4,55.2,45,34.8,37.6,69.8,78.991,81.626,1.892,"2,025",0,0,43.654,,75.2,68.8,1.012,1.024,50.65,Colorado
51,Creighton,122.1,105.1,0.849,4–2,4,6,56.8,52.6,23,12.3,17.4,11.3,29.5,28.3,63.5,60.8,48.1,34.6,41.1,8.4,10.6,63.5,46.9,45.7,33,63.8,78.968,83.115,1.954,"2,025",0,0,59.745,,67.5,66.7,1.131,1.116,35.068,Creighton
52,Harvard,107.8,92.9,0.847,2–0,2,2,49.6,46.5,20,23.5,13.3,20,21.7,27.1,67.6,48.1,50.6,34.9,25,10.1,7.8,53.8,49,35.8,31.3,65.8,76.634,78.17,1.305,"2,025",0,0,26.556,,87.5,74.1,1.036,0.94,10.107,Harvard
53,Villanova,118.1,101.8,0.847,2–2,2,4,52.2,54.1,38.3,19.5,14,14.4,25.6,22,62.6,49.6,50.4,37,39.4,7.1,9.4,46.7,57.4,44,42.5,63.8,77.311,80.292,2.445,"2,025",0,0,59.91,,72.5,79.1,1.103,1.091,24.69,Villanova
54,McNeese St.,118,102,0.842,4–0,4,4,54.4,41.6,46.1,22,11.4,16.7,24.8,32.9,65.8,51.8,39.7,39.5,29.4,12.8,10.6,47.6,52.3,35,43.6,67.6,76.833,78.891,2.515,"2,025",0,0,25.961,,73,72.7,1.174,0.942,9.089,McNeese St.
55,Saint Mary's,110.2,95.7,0.835,2–1,2,3,46.4,45.2,37.1,26.1,18.3,9.4,50,22.8,60,52.6,50.8,21.6,20,7.5,6,47.2,45.7,30.5,27.3,59.6,78.408,81.447,1.982,"2,025",0,0,48.461,,71,74.4,1.106,1.006,28.272,Saint Mary's
56,Missouri,126.5,110,0.833,1–4,1,5,53.1,57,44.4,44.2,15.5,15.8,36.5,36.6,70.7,54.6,59.8,33.9,35,4.9,10.3,43,51,39.5,38.9,68.6,78.276,81.594,2.197,"2,025",0,0,66.184,,74.3,82,1.177,1.249,56.313,Missouri
57,USC,116.9,101.7,0.832,2–3,2,5,53.1,55.5,33.8,25.2,21.8,17.6,35.2,33.9,67.2,50.9,57.3,37.7,35.2,9.2,11,57.3,65.3,39.7,40.3,67.6,78.26,79.825,2.222,"2,025",0,0,48.887,,81.4,69.2,1.088,1.127,45.01,USC
