,team,adjoe,adjde,TO%,FTR Def,3pD%,2p%,Adj_OtoD_Margin,gilgo_score,date
23,Oklahoma,112.459813952336,94.10339469476868,18.5,27.500000000000004,27.8,58.8,18.356419257567325,5.0581657471160675,2024-01-10
26,San Diego St.,113.34039363633488,95.3092664631818,15.5,31.3,28.9,52.1,18.03112717315308,4.719437575623379,2024-01-10
34,Indiana St.,116.64307084268368,99.29079541348584,17.0,27.9,30.7,60.4,17.352275429197846,4.476238011810685,2024-01-10
41,Nebraska,116.27238937884786,99.79464667358424,15.7,24.5,31.4,52.6,16.477742705263623,4.189073050210809,2024-01-10
29,Villanova,111.4895488696289,94.12836662431776,15.4,27.500000000000004,33.8,48.7,17.36118224531114,4.188871169639798,2024-01-10
36,Nevada,112.5772633816895,96.0339745266155,13.5,30.1,30.9,52.9,16.54328885507401,4.124056201595146,2024-01-10
38,Utah St.,113.66658030223276,97.27449194217785,15.5,31.5,28.2,58.7,16.392088360054913,3.954923899633497,2024-01-10
31,Mississippi St.,110.55118942102628,93.39372978449872,18.6,32.7,27.0,54.8,17.157459636527562,3.7678003782818115,2024-01-10
32,Florida,114.90852677582824,97.26213791178398,17.7,32.4,33.4,54.3,17.646388864044255,3.7182972070669953,2024-01-10
43,Cincinnati,111.62025358000348,95.94122987125756,15.9,26.0,31.0,50.9,15.679023708745916,3.5090044623350067,2024-01-10
49,Butler,115.945423634053,101.33114736619886,14.8,23.6,31.7,54.2,14.614276267854137,3.3117085233910233,2024-01-10
39,TCU,113.73375282971952,97.42318971477157,17.1,33.6,31.0,56.3,16.310563114947954,3.1440435001182507,2024-01-10
37,Colorado,115.01983196681502,98.293185868564,19.9,29.8,34.0,55.3,16.726646098251024,3.0127541199331245,2024-01-10
45,Texas,114.29492509663277,98.37033145213437,17.4,30.5,33.2,54.4,15.924593644498401,2.915052123144024,2024-01-10
55,Princeton,118.48042425461954,104.90634622991288,13.7,24.6,33.3,59.6,13.574078024706651,2.8024875950710566,2024-01-10
46,Xavier,110.22413691270194,95.00679825134816,17.5,29.0,29.5,48.9,15.217338661353779,2.738076583425805,2024-01-10
30,Saint Mary's,109.85223959547643,92.78365336042282,18.3,37.7,33.5,51.3,17.068586235053615,2.6714876033827046,2024-01-10
42,New Mexico,111.04499846526528,95.36009243799116,14.9,37.1,31.7,51.6,15.684906027274124,2.6077426766372165,2024-01-10
40,SMU,108.2234429058407,92.85528322439922,18.4,33.0,26.9,51.3,15.368159681441483,2.584877405679303,2024-01-10
44,Providence,104.45738793230282,89.88090896782576,18.9,26.0,30.5,54.8,14.576478964477062,2.489452168331006,2024-01-10
48,Texas A&M,115.86209414097962,100.99227531054858,16.0,31.8,33.5,48.9,14.869818830431043,2.196289486562935,2024-01-10
47,Boise St.,109.41887536256928,95.19447476589534,17.299999999999997,33.0,29.1,50.1,14.224400596673945,1.8599843639711071,2024-01-10
51,Washington,114.74382940350549,100.66745864921904,16.1,34.1,31.8,53.0,14.076370754286444,1.73943616011473,2024-01-10
53,Northwestern,113.70094575023909,99.76364565520734,13.4,35.5,35.5,52.2,13.937300095031745,1.657303057969363,2024-01-10
52,Oregon,114.84275962282348,100.75870910898324,15.6,35.5,34.4,53.4,14.08405051384024,1.5012208134425453,2024-01-10
58,Wake Forest,115.50233952582415,102.66406457771154,15.4,28.5,34.3,53.8,12.838274948112613,1.4493977183486932,2024-01-10
61,Iowa,114.51104980440398,102.15035358058992,13.6,28.6,35.0,53.2,12.36069622381406,1.3771246965265749,2024-01-10
60,Pittsburgh,109.55972596843428,97.69624130742208,14.499999999999998,29.1,28.1,50.9,11.863484661012194,1.358875643217438,2024-01-10
62,Virginia,105.968636393923,94.69579552381876,13.4,26.4,29.9,50.2,11.272840870104247,1.2708329307635895,2024-01-10
