rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,ajdt
21,St. John's,BE,20-13,119.06218078572525,17,98.30372254542539,44,0.9005379254692074,21,20,13,11,9,9-Nov,0.7023971409423935,0.558213338,0.7651376180259024,0.7023971409423935,0.558213338,0.7651376180259024,0.6802827257866684,0.8296688741899672,111.37382258075513,100.90744760522878,111.37382258075513,100.90744760522878,118.69464468654273,96.26123652939492,126.6925644657805,102.2558033688466,0.9215999932453404,15,-0.075160433,1537,1434,1381.15,1.112840748651486,1.0382652137711328,0,0.55,0.32060963256294633,52,332,69.21739423643875
22,Nebraska,B10,23-10,115.67132513462079,32,95.57511340771906,24,0.8997692614997798,22,23.61338694,10.386613064856899,12,8,8-Dec,0.6807726206216934,0.4249640720538003,0.805689336,0.6857442339731389,0.4249640720538003,0.805689336,0.7066957202365904,0.8761417846939996,109.89564671967172,101.16088773621333,110.04589215493401,101.09483891188128,116.06530655683935,96.39879092,123.62412542091705,109.91005865184151,0.794490428,13,-0.012088405,1513,1444,1389.0750000000003,1.089214045317927,1.0395407015459925,0,0.6,2.3922946766059696,27,207,68.65490425013881
23,Michigan St.,B10,19-14,112.72887296020495,60,93.27843968485578,9,0.8982619850011246,23,19.55295471426979,14.447045285730207,10,10,10-Oct,0.7426837975330774,0.5969205877650752,0.8106511262490959,0.7466378319825295,0.5969205877650752,0.8106511262490959,0.6550877542122295,0.7598807682101568,113.44409078635627,101.01742715101344,113.4199355972509,100.8383748767967,113.06143595414235,96.12850202537362,129.55435736732923,109.83867285166104,0.8697228412122788,13,-0.078964037,1397,1350,1299.75,1.0748220811694558,1.038661281,0,0.5,0.20839170643999616,55,340,65.27169996427943
24,Florida,SEC,24-11,119.65919237835341,14,99.30398335,68,0.8951361016577677,24,24,11,11,7,7-Nov,0.6983990075920037,0.5528303013373933,0.7654805292063747,0.6983990075920037,0.5528303013373933,0.7654805292063747,0.6871033024032678,0.797430372,111.16022005622152,101.14156867689819,111.16022005622152,101.14156867689819,121.2604458690849,100.64931980109422,127.29303491397073,102.7061450778919,0.9218770616311424,15,0.00746782,1509,1447,1313.85,1.1485329375499487,1.1013433801423298,0,0.6111111111111112,2.9644790785214954,20,155,71.57533460459823
25,Kentucky,SEC,23-9,123.01118996197562,5,102.24168166594177,123,0.8934772894696372,25,23.856048880422808,9.143951119577192,13,5,13-5,0.6664454958250964,0.500239584,0.7762963221954681,0.6639816856077754,0.500239584,0.7762963221954681,0.7129707939974653,0.8304229293905533,110.20809239124858,101.73555414617496,110.13570031172156,101.82364471394781,124.64440093985198,102.05832206751488,133.95212555687544,109.0623454299871,0.914038396,14,0.021307217193619943,1597,1483,1350.3500000000001,1.1826563483541304,1.0982337912393083,0,0.7222222222222222,2.8630881582662995,22,121,72.50455741450229
26,New Mexico,MWC,26-9,114.82899341617392,39,95.49264472152038,23,0.8928835867350738,26,26.566222018389272,9.433777981610728,10,8,8-Oct,0.6132210868550564,0.4576638169615306,0.6985078730895764,0.6202040066617646,0.4576638169615306,0.6985078730895764,0.7639516881404536,0.8718776274285923,109.0602597,102.75070139234609,109.27903020117837,102.65319863890173,116.65984677834555,99.29657978866398,117.74671229099279,100.42000292443072,0.8618219357668353,11,-0.01531246,1461,1351,1297.0749999999998,1.1263805099936397,1.0415743114314902,0,0.5555555555555556,1.7115326616095012,31,222,72.76560122326173
27,Colorado,P12,24-10,117.19433533592805,24,98.01860233598835,38,0.88642942,27,24.571940342605465,10.428059657394536,13,7,13-7,0.6709036918800523,0.48114535287075433,0.750283169,0.6761303115671733,0.48114535287075433,0.750283169,0.7354067048719155,0.8625183207954012,109.22514437927617,101.23032555715645,109.36230826645277,101.1323782,117.43344162680125,100.30702061835294,114.5906350159638,101.95066934813343,0.7931610345832073,9,-0.010473905,1550,1476,1393.4000000000003,1.1123869671307591,1.0592794603129034,0,0.65,1.7143784797150232,30,203,67.68761268254683
28,Texas Tech,B12,23-10,117.53664150489816,21,98.45847111091493,47,0.884609649,28,23.659922560704814,10.340077439295188,11,7,7-Nov,0.6998886934071348,0.4675791773020001,0.8406904632145447,0.7027744892983961,0.4675791773020001,0.8406904632145447,0.675104962,0.8704626242428908,110.52377543142238,99.97415140117346,110.62538910873772,100.00855363341407,119.43836826415463,100.31308056988286,121.34631689057565,103.03694487557772,0.8677203379774436,16,0.047883072,1340,1301,1207.85,1.1094092809537608,1.0771205033737634,0,0.6111111111111112,3.4131706009126903,16,72,66.42831265570052
29,San Diego St.,MWC,24-10,111.53565610634715,69,93.86576898140075,14,0.8790541274737387,29,24.78688037920534,10.213119620794659,11,7,7-Nov,0.6659672901752005,0.5900947732744746,0.6908585221384764,0.6658862680166182,0.5900947732744746,0.6908585221384764,0.7172998477643696,0.7406412322549302,111.28086218485574,101.26405905399754,111.32474699682187,101.4161092833549,111.45010766256138,93.61120587985239,113.67222931513818,97.15652608820267,0.8588112396239972,12,0.026877844,1305,1184,1207.0874999999999,1.0811146665009788,0.980873383,0,0.6111111111111112,2.579393917708242,24,109,66.10053288917588
30,Mississippi St.,SEC,21-13,112.62281435678418,61,94.92964983,19,0.8771209688146641,30,21.44704528573021,13.552954714269793,8,10,10-Aug,0.7038779152783282,0.5172095073858227,0.8089727987249096,0.7094317458418194,0.5172095073858227,0.8089727987249096,0.6735026970640358,0.8447973738258981,111.64262408732047,101.0069147533789,111.67365976940191,100.78610117999325,113.7222082,98.50967675123304,117.37904217007662,99.58263795024541,0.8688508497382517,14,-0.021812575,1342,1344,1238.9249999999997,1.0831971265411549,1.084811429263273,0,0.4444444444444444,0.8320530161212064,48,234,67.1587222
