Rank,team,adjoe,adjde,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
249,Bethune Cookman,105.1,112.3,0.318,2–2,2,4,51.3,50,44.2,31.5,22.6,16.7,35.2,36.3,71.9,56.2,45.7,21.7,39.7,9.2,7.3,43.6,44.5,20.5,31.1,70.3,77.433,78.972,2.603,"2,026",0,0,0.49,,72.7,64.6,1.049,1.049,5.925,Bethune Cookman
250,Presbyterian,102,109.1,0.316,1–3,1,4,51.1,47.1,40.2,50.6,18.1,13.6,29.8,31.5,69.5,52.7,47.2,31.3,31.3,16,9.1,44.9,43.4,27.9,40.7,66.8,78.267,80.66,1.555,"2,026",0,0,0.2,,77.2,66.7,1.062,1.083,10.687,Presbyterian
251,Marist,95,101.7,0.314,1–2,1,3,43.8,46.1,23.4,38.6,20.9,19.4,38.3,33.3,67,40.4,42.9,35.4,35.2,14.3,11.8,56.9,58.2,26.1,32.5,67.9,76.289,79.474,1.88,"2,026",0,0,0.2,,67.4,67.2,0.946,0.976,6.352,Marist
252,Lindenwood,98.7,105.7,0.313,2–2,2,4,43.5,44.8,39.7,39.8,15.1,17.9,39.3,28,71.3,44.2,42.9,27.8,32.9,12.4,10,43.3,51.1,27.5,30.3,71.8,77.05,79.566,1.878,"2,026",0,0,0.2,,65.4,68.5,1.038,0.947,2.167,Lindenwood
253,Samford,108.5,116.2,0.313,2–1,2,3,62.3,49.7,28.1,31.5,16.4,12.1,22.9,24.8,69.1,55.3,42.9,45.3,40.3,6.3,6.6,54.1,41.6,55.6,39.1,69.7,75.839,79.042,1.779,"2,026",0,0,11.224,,72.9,72.4,1.197,1.086,3.491,Samford
254,Memphis,111.3,119.3,0.31,1–4,1,5,48.8,52.8,39.1,40.7,14.3,14,33.7,37.2,72.4,50.2,53,29.9,34.9,11.1,6,41.7,46.3,27,38.9,71.7,77.613,82.167,2.184,"2,026",0,0,46.286,,71.4,77.3,1.09,1.197,13.504,Memphis
255,La Salle,116.1,124.5,0.309,1–4,1,5,46.9,61.7,39.3,33.2,14.4,15.8,33.9,38.2,69.5,46.5,60.7,31.8,42.1,9.3,12.1,49.2,58.6,35.1,39.8,70.5,77.379,80.179,1.867,"2,026",0,0,10.539,,80,70.3,1.105,1.283,18.036,La Salle
256,Washington St.,101.2,108.6,0.308,0–3,0,3,48.2,46.8,17.1,33,17.8,13.6,30,30.9,71,46.8,49.6,33.3,26.4,5.9,11.9,69.6,58,43.5,28.2,70.3,77.986,80.465,1.826,"2,026",0,0,17.189,,81.8,85.5,1,1.075,11.8,Washington St.
257,Cal St. Northridge,106,114,0.302,2–4,2,6,49,52.4,28.5,29.4,18.1,16.2,31.9,28.4,76.3,55,55.1,25.9,32.8,9.8,12.4,50.9,63.3,37.1,45.7,74.3,77.024,78.816,2.544,"2,026",0,0,32.247,,74.3,75,1.031,1.092,10.046,Cal St. Northridge
258,Weber St.,107.4,115.9,0.294,1–2,1,3,51.1,54.6,30.7,32.1,15.5,12.1,27.3,30.4,68.8,54.3,55.5,30,35.4,4.2,12.1,30.9,60.7,34.1,35.3,69.2,76.249,79.124,1.725,"2,026",0,0,5.807,,77.8,67.8,1.076,1.168,12.207,Weber St.
259,Ohio,110.4,119.3,0.291,0–4,0,4,49.1,55.2,37.1,47.2,11.4,10.1,27.6,33.6,71.9,51.9,56.3,29.8,35.3,9.6,3.8,45.6,45.2,39.4,33.7,69.6,76.853,79.727,2.154,"2,026",0,0,7.352,,74.5,76.5,1.118,1.242,11.947,Ohio
260,Old Dominion,112.5,121.6,0.29,2–2,2,4,55.2,54,40.6,45.8,14.1,10.5,28.6,27.1,71.2,50.3,59.1,43.6,31.3,5.8,9.3,47,45.5,32.6,41.9,69.1,77.325,80.369,2.181,"2,026",0,0,15.593,,78.4,76.9,1.194,1.187,6.014,Old Dominion
261,Marshall,114.2,123.6,0.287,1–2,1,3,60.5,52.8,28.7,37.1,16.2,13,27.7,38.2,72.1,64.5,53.5,36.5,34.3,8.7,9.3,50,29.3,40.9,35.5,69.7,77.268,81.778,2.41,"2,026",0,0,4.146,,73.1,83.6,1.189,1.244,4.068,Marshall
262,Houston Christian,97.9,106,0.286,2–2,2,4,48.6,48.5,33.5,31,17.8,19.7,26.7,35.5,66.1,56,49,23.4,31.7,14.3,11.3,55.7,49,35.3,35.8,66.1,76.505,78.399,2.664,"2,026",0,0,7.268,,65.8,69,0.984,1.026,7.469,Houston Christian
263,Murray St.,111.7,121.1,0.283,0–2,0,2,45.5,57.8,53.3,57.4,9.6,15.1,27.5,33.9,73.1,40,60.9,36.2,32.1,9.2,13.3,59.6,56.5,38.5,24.3,73.6,77.941,81.304,1.82,"2,026",0,0,39.135,,70.8,69.7,1.075,1.225,19.409,Murray St.
264,Austin Peay,110.2,119.6,0.281,1–3,1,4,55.7,62,41.8,30.7,16.8,12.2,32.3,22.6,71.5,56.8,61.6,36,41.7,4.3,5.4,61.2,53.1,37.6,42.7,71.9,77.276,80.217,1.724,"2,026",0,0,20.599,,73.7,74.3,1.178,1.237,5.813,Austin Peay
265,Milwaukee,102.8,111.7,0.278,1–1,1,2,49.6,55.3,28.6,26.5,12.5,16.2,22.9,22.2,67.9,50,63.5,32.6,30,1.6,11.8,44.2,50.9,36.1,44.2,67.2,76.598,79.581,1.892,"2,026",0,0,7.697,,67.6,80,1.039,1.098,9.494,Milwaukee
266,Purdue Fort Wayne,101.3,110.1,0.277,1–2,1,3,47.7,54.1,36.4,26.2,13.6,16.6,32.1,29.6,66.1,53.3,51.4,26.1,38.8,6.7,9.3,38.7,63.8,39.2,39,65.6,76.277,80.255,2.192,"2,026",0,0,0.2,,70.3,73.3,1.074,1.104,9.625,Purdue Fort Wayne
267,Iona,97.1,106,0.267,2–1,2,3,53.7,43.9,35.4,33.7,21.8,14.4,33.3,26.8,71.7,55.7,45.5,34.5,27.9,5,10.2,57,55.7,49.7,46,71.8,77.081,80.634,2.323,"2,026",0,0,16.77,,66.1,79.4,1.064,0.994,2.236,Iona
268,Abilene Christian,100.3,109.7,0.263,1–5,1,6,48.1,57.8,51.9,52.9,19.6,20.8,22.9,26.4,70.7,50.7,54.3,28.6,44.7,5,10.3,55.6,53.8,34.1,27.8,71.1,77.453,80.184,2.25,"2,026",0,0,12.449,,71.9,70.4,0.969,1.104,16.669,Abilene Christian
269,Tulane,104.7,114.6,0.261,1–5,1,6,45.7,53.9,35.3,38.5,14.7,15.2,23.7,38.9,67.8,45.9,51.9,30.3,37.7,8.1,14.2,55.2,58,47.4,43.1,67.3,77.412,79.293,1.985,"2,026",0,0,50.147,,78,77.5,0.997,1.223,19.742,Tulane
270,Evansville,110.6,121.3,0.257,1–3,1,4,50.7,56.1,29.3,30.3,16.8,9.5,19.7,28,65.5,50.4,50.8,34,41.7,8.5,8.3,55.9,64.9,43.7,45.4,66.6,78.742,81.56,1.694,"2,026",0,0,24.39,,82.5,81.9,1.03,1.244,20.007,Evansville
271,Southeast Missouri St.,99.9,109.6,0.256,2–2,2,4,46.8,41.9,37.9,62.5,12.8,15,26.4,33.8,68.6,46.5,43.3,31.6,25,9.8,10.7,41.8,34.5,32.3,24.1,67.2,76.249,79.157,2.277,"2,026",0,0,9.746,,77.5,76.3,1.054,1.036,3.128,Southeast Missouri St.
272,Bellarmine,119.2,130.8,0.256,2–2,2,4,59.9,57.2,41.9,38.3,14.2,15.3,27.5,38.5,67.1,62.5,53.7,37,42,6.8,11.8,49.6,56.9,37.3,37.4,68,77.855,79.866,1.724,"2,026",0,0,0.2,,81.3,73.3,1.244,1.248,5.997,Bellarmine
273,Arkansas Pine Bluff,103.6,113.7,0.255,1–3,1,4,52.2,49.1,40.6,37.6,16.1,19.7,29.2,31.9,69.4,54.5,48,31.5,34.2,5.3,5.1,55.6,48,31.9,33.6,68.1,76.843,79.39,2.108,"2,026",0,0,21.163,,77.4,71.8,1.116,1.015,2.748,Arkansas Pine Bluff
274,East Texas A&M,105.3,115.7,0.253,0–3,0,3,50.6,52.4,36.5,29.4,16.9,18,28.3,38.5,63,53.1,54.6,32,32.3,7.4,13.6,61.2,51.9,48.1,36.5,64.8,77.035,79.322,2.483,"2,026",0,0,11.977,,63.2,76,1.027,1.143,14.024,East Texas A&M
275,Radford,103.3,113.7,0.249,1–2,1,3,49.2,50.5,44.5,30.5,15.8,20.8,29.8,37.4,70.7,50.5,49.6,31.6,34.9,11,13.6,36.4,55.3,43.4,33.2,71.4,77.128,80.201,2.042,"2,026",0,0,27.821,,63,82.8,1.041,1.086,4.195,Radford
276,Mercyhurst,99.8,109.9,0.248,3–2,3,5,47.8,48.5,26.8,46.9,12,14.7,21.3,21.3,66.5,46.8,51.3,33.8,28,12.7,6.9,50.4,45.8,26.8,30.3,68,75.032,77.794,1.895,"2,026",0,0,0.2,,80,63,1.023,1.005,3.803,Mercyhurst
277,Northeastern,109.2,120.3,0.247,1–4,1,5,54.1,53.4,28.2,50.4,16.4,12.7,28.2,24.7,70.6,55.7,56.6,34.2,30.5,4.6,8.2,56.2,47.8,36.4,29.5,70.4,77.68,80.211,1.332,"2,026",0,0,0.2,,69.8,77.1,1.104,1.147,7.775,Northeastern
278,Niagara,111.1,122.4,0.247,1–1,1,2,55.1,52.2,28.7,32.2,20.1,13.9,34.5,32.3,60.8,56.1,53.2,35.7,34,11.3,10.6,63.5,56.9,38.9,46.1,61.4,76.046,79.606,2.006,"2,026",0,0,0.2,,80.6,78.4,1.115,1.154,4.62,Niagara
279,Tarleton St.,106.5,117.8,0.239,0–4,0,4,45,51.2,46.1,63.4,19,17.2,37.7,33.1,68.3,40.9,55.4,40.4,29.3,10,10.5,47.3,51.1,20.6,36.6,68.9,75.536,78.452,1.805,"2,026",0,0,12.343,,68.6,76.9,1.013,1.134,18.712,Tarleton St.
280,Lafayette,106.9,118.8,0.229,2–1,2,3,53.5,53.7,36.3,25.7,11.4,13.3,21.6,22.1,67.5,54.3,54.7,34.8,34.8,9.4,6.7,58.8,68.3,38.6,39.4,68.4,75.855,80.493,1.28,"2,026",0,0,2.069,,75.8,88.9,1.136,1.126,3.453,Lafayette
281,Sacred Heart,108,120.2,0.226,2–1,2,3,52.4,49.5,29.2,18.8,15.9,13.8,27.6,39,65.1,55.2,55.3,33.7,28.7,18.4,11.9,73.2,59.5,60.1,47.7,65.7,76.957,79.783,1.953,"2,026",0,0,3.24,,81.6,64.9,1.105,1.121,5.61,Sacred Heart
282,Stony Brook,103.4,115.2,0.224,0–4,0,4,47.6,57.5,19.4,53.6,15.9,17.8,26.8,32.5,67.6,47.3,54.9,31.9,40.4,5.3,12.4,45.5,53,48,45.4,68.7,77.584,80.144,1.664,"2,026",0,0,3.226,,77.1,68.5,1.01,1.162,15.669,Stony Brook
283,The Citadel,113.4,126.4,0.223,2–2,2,4,57.8,60,30,28.8,12.6,15.3,24.8,38.5,63.5,61.3,64.3,36,36.4,10.9,5.9,54.9,50.8,48.3,45.3,64.1,76.9,78.832,2.008,"2,026",0,0,0.2,,60.9,69.1,1.175,1.259,8.04,The Citadel
284,UNC Asheville,107.8,120.2,0.222,2–2,2,4,52.3,55.5,54.8,44.9,15.9,14.4,30.7,28.6,67.2,54.8,57.7,32.1,35.1,7.7,4.4,35.6,45.9,38.4,42.7,64.7,78.624,81.149,1.95,"2,026",0,0,1.978,,65.8,66.7,1.111,1.154,7.132,UNC Asheville
285,Southern,105.2,117.4,0.221,4–3,4,7,50.1,51.6,38.8,38.4,14.7,17.3,32.3,30,70.1,46,51.1,39.5,35.2,11,10.7,60.5,52.4,30.7,30.2,69,76.717,79.335,2.525,"2,026",0,0,0.2,,68.1,76.8,1.083,1.092,3.756,Southern
286,Coastal Carolina,106.7,119.2,0.219,2–1,2,3,46.9,52.2,33.3,32.2,13.6,9.6,32.4,30.2,66.3,49.5,50.4,29.4,36.8,5.2,8.4,36.1,30.1,47.2,37.2,65.6,77.435,80.422,2.125,"2,026",0,0,15.009,,80,74.6,1.092,1.182,7.761,Coastal Carolina
287,Sacramento St.,94.5,105.6,0.218,1–3,1,4,43.4,51.7,32.6,30.8,10.4,18,17,30,69.4,42.5,59.3,30.3,29.8,6.2,11.3,50.5,51,32.2,52.3,69.8,77.246,79.619,1.481,"2,026",0,0,13.597,,74,69.9,0.944,1.066,13.802,Sacramento St.
288,Quinnipiac,103.2,115.5,0.215,1–2,1,3,43.5,48.4,46.7,25.7,13,13,33.3,29.9,66.8,42.4,47.2,30.3,33.8,7.3,11.9,48.6,58,35.9,35.6,70.1,78.072,80.935,1.376,"2,026",0,0,15.577,,67.4,67.3,1.048,1.048,4.305,Quinnipiac
289,Idaho St.,102.3,115.3,0.202,1–3,1,4,46.7,54.1,38,49.1,14.8,11.2,33.5,20,69.4,48.1,56.5,29.7,32.9,10.9,9.1,46.5,55.1,37.1,33.2,68.9,77.391,80.244,2.07,"2,026",0,0,0.2,,64.5,72.2,1.041,1.138,6.275,Idaho St.
290,Appalachian St.,101.8,114.9,0.199,0–2,0,2,42.9,51.3,45.5,35.7,17.8,14.7,39.7,34.3,64.7,53.2,50.5,20,36.4,9.7,8.1,32.6,34.5,44.6,19.1,64.4,76.317,80.12,2.037,"2,026",0,0,5.258,,66.7,68.3,1.005,1.129,8.591,Appalachian St.
291,UTEP,96.7,109.3,0.197,1–3,1,4,49.3,50.2,47.8,46.9,17.7,18.1,17.5,30.5,70.5,47.5,51,34.5,32.5,7.6,5.1,43,51.5,42.4,36.4,69.9,76.879,80.167,2.069,"2,026",0,0,0.779,,70.4,74.8,0.96,1.095,11.524,UTEP
292,East Tennessee St.,104.5,118.6,0.189,2–3,2,5,55.8,54,35.3,41.8,15.5,15.5,27.5,33.3,64.5,60.7,55.2,31.7,35.2,6.9,6.5,43.3,52.8,37.5,46.9,65,76.635,79.644,2.091,"2,026",0,0,14.562,,61.1,68.4,1.11,1.156,6.152,East Tennessee St.
293,Wofford,105.5,120,0.185,1–2,1,3,53.1,55.9,25.9,49.4,10.2,15.5,27.4,27.1,65.9,52.8,60.8,35.6,32.3,4.1,9.4,47.1,48.8,45.1,40.1,67.3,75.814,78.431,1.159,"2,026",0,0,0.2,,58,70,1.137,1.151,5.969,Wofford
294,Colgate,109.1,124.1,0.185,1–3,1,4,54.2,55.4,28.2,35.1,13,12.2,24.8,28.1,65.5,55.3,56.6,34.9,35.8,3.7,7.8,56.5,55,37.9,41.1,66.1,77.333,80.166,1.468,"2,026",0,0,0.2,,79.7,64.2,1.134,1.176,6.742,Colgate
295,Eastern Illinois,103.5,117.8,0.184,2–2,2,4,48.8,49.8,38.1,23.1,18.1,18.1,26,37.6,63.2,47.3,47,35,35.5,10.6,10,46.7,57.4,28.6,45.5,64.1,76.332,79.351,2.117,"2,026",0,0,0.2,,70,71.4,1.003,1.08,6.071,Eastern Illinois
296,Eastern Michigan,93.1,107,0.168,0–3,0,3,44.9,47,33,36,15.3,10,23.2,25.6,69.7,48.4,48.7,24,29.6,14.8,8.7,42.5,42.9,28.4,38.2,68.9,77.971,80.769,1.888,"2,026",0,0,24.843,,72.4,71.6,0.956,1.066,10.356,Eastern Michigan
297,Alabama St.,99.2,114.1,0.167,1–3,1,4,47.1,48.5,30.9,43.2,15.8,14.3,30.1,28.2,69.8,52.1,51,26.7,29.4,15.4,11.3,47.5,54.5,41.6,36.3,69.6,77.222,80.253,2.186,"2,026",0,0,3.563,,69.3,73.3,1.006,1.078,2.794,Alabama St.
298,Alabama A&M,108.5,124.8,0.167,2–3,2,5,53.4,52.7,49.1,45,14.3,15.5,28.3,29.6,66.9,47.2,52.8,43.3,34.9,6.2,7.2,60.6,51.5,35,29.9,65.1,77.2,80.054,2.466,"2,026",0,0,17.375,,69.1,76,1.137,1.131,2.546,Alabama A&M
299,Northwestern St.,91.1,104.8,0.166,1–3,1,4,43.2,49.8,41.1,24.4,19.7,15.2,27.5,27.4,61,39.8,49.3,33.9,33.7,8.7,8.3,53.4,54.2,30.7,37.6,61.8,75.934,78.34,2.136,"2,026",0,0,0.2,,70.9,64.8,0.91,1.045,11.921,Northwestern St.
300,Loyola MD,106.8,123.1,0.163,1–2,1,3,47.8,58.5,23,38,10.1,14.8,29.2,30.2,62.9,51.5,59.8,29.1,37.5,6.9,10.3,40,50,47,35.4,64.4,77.142,79.535,1.327,"2,026",0,0,0.2,,69,75,1.081,1.219,6.017,Loyola MD
301,Grambling St.,91.7,105.8,0.162,3–4,3,7,46.8,46.6,33.5,32.8,20.3,22.2,30.4,34,70.3,44.6,48.5,33.8,28.7,8.3,11.2,51.2,50.6,36.9,33.8,69.7,78.16,79.191,2.616,"2,026",0,0,0.235,,73,67.4,0.982,0.943,2.611,Grambling St.
302,Albany,103.5,119.5,0.161,1–3,1,4,54.5,52.5,15.1,36.7,20.7,15.6,38.2,29.1,64,57.1,50.8,33.7,36.5,15.6,8.6,49.5,60.8,39.7,44,64.7,77.042,81.271,1.972,"2,026",0,0,1.182,,62.9,65,1.075,1.098,3.384,Albany
303,Morehead St.,101.9,117.7,0.16,3–1,3,4,44.9,48.6,41.8,26.9,13.1,13.9,31.3,34,64.9,45.7,44.7,28.6,37.2,8.8,9.9,39.1,44.7,28,35.1,64,76.682,79.687,1.833,"2,026",0,0,0.2,,75.5,74.2,1.052,1.106,4.007,Morehead St.
304,Cal St. Bakersfield,104.4,120.6,0.16,0–4,0,4,50.2,57.6,50,37.7,16.3,17.9,23,35.9,76.9,55.1,60.3,26.9,35.6,9.6,5.7,48.1,47.7,33.1,39.3,73.1,77.441,80.034,2.391,"2,026",0,0,0.2,,69.5,72.2,1.037,1.19,11.196,Cal St. Bakersfield
305,Brown,96.3,111.3,0.159,0–3,0,3,49.4,56.7,30.4,33.7,25.5,17.9,32.1,36,70.7,53.9,54.9,26.8,39.1,9.9,7,59.7,65.5,32.7,48.9,69,76.71,79.624,1.501,"2,026",0,0,9.6,,65.4,76.7,0.957,1.169,12.275,Brown
306,Texas Southern,96.4,111.5,0.158,2–2,2,4,45.9,47,35.5,39.4,17.7,16,36.9,28.8,69.1,47.4,44.4,27.7,33.3,17.8,6.2,50,58.8,25.1,45.1,68.2,76.468,79.587,2.684,"2,026",0,0,1.011,,75,70.1,1.045,1.017,1.695,Texas Southern
307,Little Rock,100.2,115.9,0.158,1–2,1,3,50.5,40.9,29.7,45.8,15.8,12,31.5,37.3,69.7,48.8,44.9,36.2,20.4,13.8,3.9,49.4,41.1,31.4,28.1,68.4,78.506,80.489,2.389,"2,026",0,0,24.551,,61.8,69.3,1.058,1.043,2.263,Little Rock
308,Hampton,104.5,120.9,0.158,1–3,1,4,47.7,52.7,38.6,52,11.3,14.2,26.6,32.5,68.6,52.5,53.7,27.5,33.3,5.5,9.4,46.5,49.5,42.3,25.8,67.7,76.987,80.528,2.173,"2,026",0,0,9.191,,75.3,73.9,1.093,1.159,8.334,Hampton
309,UTSA,105.6,122.2,0.157,0–3,0,3,47.1,49,32.6,27.4,13.6,13.1,33.1,43.7,68.7,45.8,53.1,32.8,29.5,13.3,10.8,40.3,42,35.8,45.7,69.2,77.787,79.719,1.552,"2,026",0,0,23.717,,70.5,73.7,1.063,1.194,9.78,UTSA
310,Nebraska Omaha,92.3,107.6,0.146,1–3,1,4,42.6,49.4,34.8,35.8,12.5,11.4,17.8,26.4,67.7,47.8,49.2,23.3,33,12.5,7.5,34.1,54,40.2,46.7,66.5,77.126,80.23,2.473,"2,026",0,0,5.566,,76.9,65.1,0.926,1.081,13.485,Nebraska Omaha
311,UMass Lowell,100.4,117.1,0.146,2–3,2,5,44.6,53.7,24.5,27.9,14.2,12.4,35.3,30.5,66.3,47,54.8,26.4,34.3,6.5,11.5,46.2,41.3,32.8,33.2,68.3,76.285,78.964,1.767,"2,026",0,0,6.675,,67.1,63.9,1.029,1.125,5.96,UMass Lowell
312,Binghamton,102.1,119.1,0.145,2–0,2,2,60.4,48.7,26.7,28.6,17.9,14,14.8,23.3,64.3,60.6,41.1,40,37.5,10.7,4.5,44.4,59.1,34.7,50,65.6,76.303,79.483,2.282,"2,026",0,0,2.938,,63,59.4,1.082,1.012,0.632,Binghamton
313,Louisiana,101.3,118.2,0.145,1–3,1,4,44.4,57.1,36.1,44.3,13.2,19,29.6,33.9,68.3,43.8,61.9,30.4,32.5,10.1,11.7,35.8,57.1,32.8,36.5,67.8,77.058,79.562,1.41,"2,026",0,0,26.215,,67.8,73.2,0.999,1.175,12.181,Louisiana
314,Elon,92.2,107.6,0.145,0–4,0,4,42.5,50.7,31.1,31,20.1,17.7,27.7,32.1,64.8,42.9,51.6,28,33,9.5,14.3,58.4,67.3,43.9,44.2,65.3,77.717,80.38,1.982,"2,026",0,0,7,,78.8,71.4,0.895,1.076,12.742,Elon
315,Georgia St.,103.6,120.9,0.145,0–3,0,3,46.3,49.5,43.2,44,12.9,13.3,27.4,34.5,70,50.4,50,24.5,32.3,8.3,8.1,40,43.8,30.1,34.1,71.1,77.262,79.752,1.313,"2,026",0,0,17.552,,73.7,76.3,1.043,1.147,3.285,Georgia St.
316,Cleveland St.,101.4,118.5,0.143,1–3,1,4,51.5,58.8,28.6,36.3,16.3,16.6,21.6,31,72.1,52.1,61.6,33.7,36,5.3,8.6,46.2,59.2,41.2,37.1,70.4,76.119,78.928,2.184,"2,026",0,0,6.603,,75,74.7,1.027,1.204,11.888,Cleveland St.
317,North Alabama,95.9,112.7,0.135,1–2,1,3,46.8,52.1,40.4,24.1,20.6,15.3,33.7,34.1,63.2,49.5,58.5,27.5,25,10.2,12.4,47,41.5,32.7,30.6,63.4,77.692,79.978,1.894,"2,026",0,0,6.486,,76.2,85.4,1.023,1.118,4.32,North Alabama
318,Bryant,98,115.2,0.135,1–3,1,4,51.2,51.8,35.1,34.8,18.5,13.2,19.5,27.1,62.4,49.1,55.2,35.9,30.5,9,8.6,51.1,31.4,44.2,36.1,63.1,79.242,81.645,1.164,"2,026",0,0,17.229,,74,65.8,1.007,1.083,6.247,Bryant
319,Delaware,103.2,121.5,0.133,1–3,1,4,50.7,58.1,32.2,30.9,18.9,15.2,18,33.6,65.8,43.6,53.2,38.2,43.3,10.8,13.9,53.5,69.8,52.1,41.1,65.5,78.52,80.449,1.716,"2,026",0,0,14.548,,86.8,78.1,1.009,1.224,12.127,Delaware
320,American,101,119.1,0.131,0–3,0,3,49.4,63.5,27.4,30.4,10.5,19.9,31.5,20,63.6,56.8,64.4,27.4,41.4,0,13.7,39,51.2,46.9,39.2,66.6,76.798,78.628,1.255,"2,026",0,0,0.2,,69.4,73.3,1.106,1.158,4.489,American
321,Central Connecticut,100.2,118.2,0.13,2–1,2,3,51.8,50.3,33.1,25.1,14.9,12.9,26.7,26.3,64.8,51.2,54.9,35.7,26.4,9.8,5.8,42.9,34.6,25.8,30.3,65.5,77.488,79.86,1.678,"2,026",0,0,0.2,,74.1,81.8,1.076,1.091,1.36,Central Connecticut
322,USC Upstate,89.1,105.7,0.123,1–2,1,3,47,49.1,17,31.7,20.8,18.8,33,25.7,67.4,52.6,44.7,25,37.7,18.4,13.2,55.8,34.8,37.4,37.2,64.9,76.727,79.986,1.979,"2,026",0,0,7.38,,74.2,69.2,0.959,0.974,3.31,USC Upstate
323,New Haven,93.4,111.1,0.12,1–2,1,3,47.1,49.4,42.2,31,11.9,16,13.5,18.4,64.4,51.9,55.4,28,27,6.5,6.3,46.8,50,48.7,40.6,63.6,77.261,80.501,1.653,"2,026",0,0,0.2,,76.9,91.7,1.009,1.019,2.293,New Haven
324,Le Moyne,97.5,116.1,0.118,1–2,1,3,48.5,46.7,31.4,39.5,15.3,14.8,22.1,21.9,67.6,55,40.9,26.1,35.4,6.8,4,50.7,59.4,40.8,47.3,70.5,77.041,79.256,1.721,"2,026",0,0,0.23,,79.2,75.8,1.016,1.016,1.729,Le Moyne
325,Dartmouth,103.8,123.8,0.117,0–3,0,3,47.9,64.2,50.9,43.4,13.7,13.7,20.2,27.1,70.6,49.4,56.3,30.8,49.4,7.3,4.6,46.3,58.7,47.3,44.5,69.7,77.032,79.34,1.83,"2,026",0,0,0.2,,76.2,68,1.048,1.289,10.95,Dartmouth
326,Air Force,94.5,112.9,0.115,0–5,0,5,48.2,53.1,37.7,36.6,19,14.6,18.9,31.5,67.2,53,54.2,26.4,34.2,6.1,12.7,48.2,51.9,35.4,38.3,68.3,78.223,81.105,0.73,"2,026",0,0,0.2,,59.8,79.2,0.91,1.166,24.039,Air Force
327,Gardner Webb,96.3,115.2,0.113,1–3,1,4,46.9,51.7,28,29.5,16.8,18,24.5,36.2,66.8,48.5,55.2,29.7,30.9,7.7,12.7,38,51.9,40.4,39.7,66.6,76.028,79.231,1.332,"2,026",0,0,5.733,,71.4,68.6,0.958,1.097,7.853,Gardner Webb
328,South Carolina St.,96.7,115.8,0.112,3–3,3,6,48.2,47.7,49.4,54.3,21,21,35,37.9,69.9,48,47.9,32.4,31.5,14.7,8.1,54.3,47.8,32.2,34.5,70.2,77.971,81.239,1.565,"2,026",0,0,0.2,,72,77.1,1.026,1.054,2.478,South Carolina St.
329,IU Indy,101.8,122.2,0.109,0–3,0,3,56.6,61.3,19.3,38.5,17.8,14.7,27.5,28.7,75.1,53.9,60.2,40.2,42.6,3.9,7,67.4,46,41.6,29.7,73.1,76.493,78.873,1.64,"2,026",0,0,0.2,,65.8,72.9,1.101,1.217,4.131,IU Indy
330,Jackson St.,99.1,119,0.109,3–3,3,6,42.5,50.4,48.6,40.3,18.4,21.2,38.5,37.4,68.5,40.4,45.1,30.1,40.5,5.8,12.6,38.6,57.4,44.1,34.1,67.3,76.485,79.749,1.867,"2,026",0,0,23.16,,73.3,83.2,1.018,1.09,3.386,Jackson St.
331,Maine,91.3,109.8,0.107,1–3,1,4,53.4,52.1,38.7,28,16.8,20.7,15,28.9,64.1,50.8,59.7,38.6,26.3,8.2,8.9,62.2,46.5,36.1,37.4,64.5,77.084,80.342,1.841,"2,026",0,0,5.373,,58.7,61.7,0.978,1.013,2.68,Maine
332,Tennessee Tech,98,118.3,0.103,0–2,0,2,39.9,52.6,60.6,32.5,17.9,10.4,17.7,23.8,67,43.6,56,23.1,31,4,9.1,48.5,38.2,41.5,35.9,67.8,76.57,78.935,2.275,"2,026",0,0,4.088,,82.5,78.9,0.91,1.141,8.154,Tennessee Tech
333,Eastern Kentucky,110,132.9,0.102,0–3,0,3,55.3,58.6,34.1,36,17.4,8.9,31.7,31.1,67.2,49.4,57.1,40.4,40,11,8.6,60.5,60,52.4,51.1,66,76.068,79.353,1.807,"2,026",0,0,8.295,,75.9,74.6,1.15,1.329,3.52,Eastern Kentucky
334,Youngstown St.,93,112.5,0.101,0–3,0,3,44.5,59.6,22,25.9,13.8,16.3,19.5,26.5,65.4,50,57.9,25.3,42.3,7,6.4,56.7,47.7,45.7,31.3,67.7,76.386,79.696,2.563,"2,026",0,0,4.511,,71.1,76.7,0.922,1.177,13.576,Youngstown St.
335,North Carolina A&T,103.3,125.5,0.096,0–4,0,4,53.3,58.3,36.4,34.4,19.5,11.7,30.4,32.4,70.5,57.3,58.9,29.4,38.2,8.6,5.7,44.5,57,30.2,40.3,68.5,77.915,80.315,1.337,"2,026",0,0,5.272,,69.5,71.3,1.053,1.265,11.803,North Carolina A&T
