Rank,team,adjoe,adjde,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
123,Penn,104.2,99.4,0.632,5–0,5,5,50,49.3,28.8,23.2,14.9,22,28.2,28.4,67.8,44.3,52,40.2,30.3,6.3,9.5,48.5,61.7,35.8,41.1,69.8,77.767,80.753,1.869,"2,026",0,0,17.192,,70,63.8,1.06,0.95,8.878,Penn
124,Davidson,104.4,99.6,0.632,4–3,4,7,49.4,46.3,30.1,39,12.9,16.2,23.4,26.4,65.1,53.1,46,30.2,31.3,15.3,10.3,57.3,57.1,47.4,35.1,64.5,77.711,80.232,1.436,"2,026",0,0,25.613,,61.5,75.2,1.025,1.006,16.957,Davidson
125,Hawaii,111.5,106.4,0.631,5–1,5,6,52.9,49.4,36.5,37.1,17.5,16.6,29.5,24.2,72.2,57.3,44.4,31,38.2,15,6.6,53,42.9,40.7,38.9,69.6,78.622,81.581,2.599,"2,026",0,0,9.248,,80,74.6,1.11,1.023,10.483,Hawaii
126,Utah Valley,114.5,109.6,0.623,5–1,5,6,56.4,51.6,48.5,43.4,17.5,18.6,29.2,30.4,67.8,56,48.7,38.1,38.3,13.8,7.1,60.2,54.9,31.8,33.9,67.7,77.904,80.165,1.752,"2,026",0,0,10.371,,65.6,72.1,1.125,1.076,9.622,Utah Valley
127,Southern Illinois,102.9,98.5,0.623,2–1,2,3,45.5,48.2,19.1,26.5,12.1,18.6,36.8,22.4,66.3,51.1,53,22.7,28.9,8.4,9,48.2,61.8,33.2,50,66.3,77.17,80.365,1.719,"2,026",0,0,28.955,,76.3,65.9,1.055,0.95,5.56,Southern Illinois
128,North Texas,103.4,99,0.623,3–2,3,5,46.3,48.9,35.8,49.8,11.7,20.2,28.5,27.8,65.3,46,51.4,31.4,30.6,13.7,8.5,51.9,49.1,32.6,45.3,65.4,77.35,80.15,1.816,"2,026",0,0,5.922,,63.4,71.4,1.028,1.014,16.721,North Texas
129,USC,111.4,106.7,0.622,0–5,0,5,46,54,31,24,16.7,12.7,27.9,35.3,69,49.2,54.6,27,35.3,14.2,9,64.2,56.5,37,35.3,70.3,78.889,82.571,2.12,"2,026",0,0,33.868,,77.4,76.5,0.984,1.204,46.766,USC
130,Northern Colorado,113.3,108.7,0.617,2–2,2,4,54.4,49.2,26.1,34.4,11.7,12.8,22.8,24.5,70.4,56.2,55.1,34.4,25.3,7,9.8,45.4,43.5,38.6,34.4,69.2,77.574,80.762,2.338,"2,026",0,0,8.289,,78.5,77.1,1.143,1.069,13.88,Northern Colorado
131,St. Bonaventure,113.3,108.7,0.617,3–4,3,7,51.2,50.2,35.5,35.1,16.6,16,35.2,30.7,65.9,48.8,48.6,37.9,35.2,12.8,7.7,54.3,49.1,30.3,40,67.7,76.272,80.367,2.173,"2,026",0,0,12.234,,71,73.2,1.11,1.087,17.862,St. Bonaventure
132,Miami OH,112.4,107.9,0.615,4–1,4,5,54.6,50.6,38.7,26.8,12.5,13.9,24.3,30.7,70.3,58.9,51.1,32.8,33,5.8,8.9,43.4,42.3,44.4,31.4,69.4,77.513,80.117,1.693,"2,026",0,0,11.186,,68.4,75,1.137,1.103,8.803,Miami OH
133,Central Arkansas,115.2,110.6,0.615,4–1,4,5,58.1,56.3,32.6,33,14.5,19.3,28.7,31.5,68.6,57.3,61.8,39.3,34.2,7.4,8.5,50.3,63.2,46.1,52.8,67.9,77.041,79.681,1.054,"2,026",0,0,0.2,,76.8,81.1,1.218,1.139,7.717,Central Arkansas
134,Texas A&M Corpus Chris,112.9,108.6,0.61,4–1,4,5,57.6,48.8,31.3,42.9,21.8,16.7,39.4,28,62.4,53.4,50,44.2,31.1,7.9,6.8,51.5,45.5,32.8,35.4,62.9,76.346,79.603,2.514,"2,026",0,0,2.294,,70.7,65.1,1.154,1.023,7.835,Texas A&M Corpus Chris
135,UT Rio Grande Valley,108.2,104.1,0.609,3–2,3,5,57.4,44.9,28.3,39.9,21.3,14.9,23.2,30.9,64,59.2,48.2,36.8,25.7,6.2,7.5,55.6,57.5,46,34.1,64.7,75.574,78.348,1.883,"2,026",0,0,0.2,,76.6,66.1,1.081,1.002,15.039,UT Rio Grande Valley
136,Cornell,123.4,118.9,0.605,3–1,3,4,61.9,55,24.7,28.6,14.5,14.2,31.5,31.8,68.8,66.3,56.1,39.3,35.5,7.1,15.3,72.1,60,59.7,37.5,69.6,75.883,77.618,2.297,"2,026",0,0,2.755,,73.3,76.1,1.254,1.189,10.383,Cornell
137,Xavier,123.3,119,0.601,2–4,2,6,52.7,59.8,32.3,26.7,13,13.5,27.2,32.3,69.4,51.8,62.9,36.2,37.3,9.3,9.4,52.7,59.4,38.6,45.2,69.9,78.612,81.554,2.351,"2,026",0,0,32.066,,78.8,79,1.148,1.264,38.296,Xavier
138,Southern Miss,111.4,107.6,0.599,4–2,4,6,51,46.7,43.8,53.7,15.5,17,34.4,32,70.8,52.3,52.3,31.5,22.5,8.1,9.8,44.3,38.4,25.8,30.3,72,77.678,79.747,2.164,"2,026",0,0,2.025,,71.8,75.7,1.119,1.065,11.257,Southern Miss
139,Cal St. Fullerton,107.6,104,0.597,3–2,3,5,50,48.9,34.7,32.5,14.2,21.3,21.9,25.8,76.2,48.7,56,34.2,27.4,8.2,9,61.5,70.5,50.3,47.9,73.6,75.81,79.158,1.86,"2,026",0,0,6.447,,74.3,85.9,1.037,1.006,12.353,Cal St. Fullerton
140,Wright St.,111.7,108,0.596,5–0,5,5,55.8,47.4,39.7,38.1,14.9,15.7,34.3,29.2,71.4,54.7,47.2,38.9,31.8,9.7,6.6,48.3,44.4,29.8,35.4,69.4,76.946,79.547,1.245,"2,026",0,0,0.2,,73.3,77.4,1.191,1.051,8.303,Wright St.
141,Illinois St.,116.3,112.7,0.589,2–1,2,3,51.6,60.3,40.8,29.5,16.7,15.6,27.2,25.6,62.1,52.6,54.7,33.8,45.9,7.4,9,47,63.8,48.7,39.1,65,76.501,79.918,1.954,"2,026",0,0,1.308,,75.8,63,1.096,1.166,28.255,Illinois St.
142,Prairie View A&M,101.4,98.3,0.588,7–0,7,7,49.4,40,33.6,36.8,14.4,17.5,31.4,31.2,66.4,44.9,38.4,39.5,29.3,16.8,9.5,52.5,43.2,31.2,28.4,65.5,76.428,79.342,2.802,"2,026",0,0,0.231,,71.9,69.3,1.076,0.909,3.246,Prairie View A&M
143,Eastern Washington,115.3,111.8,0.588,3–2,3,5,57.8,55.9,43.6,32.7,15.7,16.3,31,26.5,67.6,62,56.6,33,36.6,15.1,8.2,52.1,43,33.1,40.3,67.9,76.574,80.165,2.685,"2,026",0,0,6.202,,70.8,69.2,1.192,1.106,7.391,Eastern Washington
144,Queens,114.6,111.2,0.586,4–1,4,5,56.7,48.6,39.1,34.9,14.4,15.2,27,33.8,71.7,55.1,51.8,39,29.2,6.6,8.9,56.9,46.4,48,39.8,70.7,78.203,80.782,1.734,"2,026",0,0,9.008,,74.8,73.7,1.181,1.094,9.994,Queens
145,Syracuse,112.5,109.3,0.582,0–4,0,4,50.6,55.6,24.8,21.4,15,14.2,25.2,36.6,64.9,52.7,56.3,32,36.4,10.6,8.4,49,53.3,44,43.7,64.7,78.274,80.892,1.876,"2,026",0,0,46.415,,79.3,77.8,1.06,1.206,42.157,Syracuse
