TeamName,eFG%,eFG% Def,FTR,FTR Def,OR%,DR%,TO%,TO% Def.,3P%,3pD%,2p%,2p%D,ft%,ft%D,3P rate,3P rate D,arate,arateD
Jacksonville,50.6,49.8,22.8,27,23.9,25.7,19.1,14.3,33.3,32.1,51,51.4,77,73.2,39.5,49.5,53.6,55.8
Michigan St.,51.6,48.1,25.8,28.6,27.4,25.2,16.4,14.7,39.5,31.5,47.7,48.6,76.2,72.1,33.1,38.3,57.6,52.5
Xavier,55.6,50.4,30.8,27.1,31.8,25.4,17.5,16.5,39.5,35.9,54,48.7,71.4,72.4,31.3,34.2,63.8,54.3
Akron,51.9,49.7,33.7,28,29.8,26.5,16.6,17.8,35,35,51.5,48.1,75.5,74.5,43.9,35.3,51.2,46.5
Richmond,51.2,49.6,33,26.2,21,25.4,17.1,17.1,33,32.9,52.4,49.7,74.5,72.6,44.1,40.3,51.1,49.8
Elon,47.8,52.1,27.5,29,24.9,30.6,18.4,17.1,29.2,35.2,50.5,51.4,70.5,70.8,40.3,45.7,49.6,58.2
Weber St.,50.8,52.8,33.7,31.7,21,22.4,19.2,19.3,32.8,36.8,51.8,51.1,76.2,70.5,37.4,41,44.8,58.5
Bucknell,51.3,51.2,26.9,27.7,25.4,25,20.2,15.4,34.5,36.4,51.1,49.4,71.8,64.1,37,35.8,53.5,55.5
Hampton,45.1,53.9,32.1,35.3,26.5,30.3,16,15.7,32.1,37.9,43.4,52.2,68.7,69.5,36.6,36.7,45.6,54.7
Boise St.,51.9,47.3,30.7,27.4,26.4,23.8,16.7,17.7,36,31,50.7,47.8,73.9,69.3,37.9,37.4,43,46
Stonehill,50.9,50.2,32.2,27.3,19.1,31.4,19.7,19.8,34.8,34.6,49.9,49,75.9,70.9,41.3,40.8,52,54.8
UC Davis,49.8,50.7,42.8,31.5,32.2,28.6,20.6,20.8,33.5,36.7,49.6,48.9,71,70.4,35,30.4,47.8,45.2
Army,53.8,51.4,31.3,28.5,25.4,24.2,19.1,15.6,34.9,33.1,54.7,52.4,69.8,69.3,37.9,37.9,48,52.5
Missouri St.,50.1,49.3,27.2,30.4,33.2,26.9,19.1,18.6,32.8,32.6,50.9,49.5,62.6,72.1,43.1,39.1,48.6,48.6
Memphis,53.2,46.8,35.9,34.9,31,32.3,18.4,20.9,35.6,30.8,53.1,47.2,74.7,73.9,28.8,42.9,54.6,55.7
Duke,51.1,46.3,30.8,24.1,36.2,25.9,18.2,16.6,33.6,30.4,51.4,46.7,77,76.5,35.4,35.1,56.4,47.9
Providence,51.5,50,36.8,25.5,35.2,26.7,16.9,16.9,35.1,33.9,50.9,49.6,74.5,74.4,31.6,33.9,53.4,48.2
Marquette,56,51.1,27.1,29,26.5,32.1,15.2,22.8,34.8,35.2,58.8,50,72.1,69.8,41.9,37.5,59.3,58.6
Longwood,50.2,51.2,33.6,33.5,32.1,26.9,17.8,21.5,34.3,34.7,49.5,50.5,71.6,72.6,37.2,41.9,48.3,53.2
Penn St.,55.5,49.2,21.4,25.9,18.8,25.1,13.7,13.1,38.5,33.3,53.5,48.8,73.8,70.4,47.4,37.5,52.7,56.1
VCU,52.2,47,41.8,30.5,29,29.8,19.5,24.1,34.7,32.3,52.3,46.2,69.7,70.3,32.8,34.1,53.1,51
Alabama A&M,48.6,49.4,35.9,41.8,29.5,33.9,21.4,21.4,34.7,33.8,46.9,48.5,64.5,70.9,32.7,39.9,49.8,53.4
Georgia Tech,48.5,50.1,23.5,30.8,27.5,29.9,15.6,15.9,33.4,31,47.4,52,69.5,71.6,38.9,35.2,54,56.7
Fairfield,46,49.3,37.9,28.1,28.6,29.5,18.2,17.8,28.6,29.3,47.8,51.7,72.2,72.5,36.6,31.5,41.8,43.4
Cornell,54.8,55.7,28.5,30.9,28.8,29,16.7,21.9,34.5,36.2,57.5,56.6,71.6,71.8,47.9,39.8,57.8,58.8
Morgan St.,47.1,50.8,30.9,42.9,30.2,37.3,22,23.8,35.5,31.8,44.4,52.4,68.7,68.1,29.9,33.9,53.5,56.1
Fresno St.,49.3,51.2,24.3,32.1,24.9,28.2,18.1,19.7,31.1,37.3,51.1,48.3,77.7,76,40.7,37.6,53.2,52.8
