TeamName,eFG%,eFG% Def,FTR,FTR Def,OR%,DR%,TO%,TO% Def.,3P%,3pD%,2p%,2p%D,ft%,ft%D,3P rate,3P rate D,arate,arateD
Pepperdine,47.5,52.7,23.9,31.5,26.3,31,20.4,18,34.1,32.9,45.6,54.6,71.3,71.7,34.8,36.5,57.8,54.2
VCU,51.5,44.3,30.3,37.3,26.6,32.2,21.8,24.9,34.7,27.8,51.2,45.6,69.6,70.3,29.7,35.5,56.2,53.6
Arizona,55.9,44.4,35.1,22.8,34.5,28.3,18,17.7,35.4,32.7,57.5,41.9,73.8,67,35.7,34.5,65.4,46.8
UC Irvine,47.6,44.1,29.7,31.2,29.9,27.6,20.6,17.2,32.1,26.6,47.4,46,78,74.9,28.6,32.1,43.8,48
Manhattan,48.3,52.2,41.4,34.7,30,30.9,20.5,19.9,29.9,33.9,50,52.9,73.6,71.1,32.9,33.3,46.4,55.6
Dartmouth,48.2,50.8,24.5,28.4,23.6,26.6,17.4,19,33.4,34.2,46.6,50.5,77.6,71.3,45,37.1,42.9,42.2
Davidson,55.6,49.4,32.9,28,23.6,22.2,14.8,16.9,38.4,33.8,54.2,48.4,75.7,74.1,41.1,43.8,55,51.9
Northeastern,50.1,51.7,30.6,25.6,26.3,23.7,21.2,15.7,32,34.3,51.6,51.9,73.4,75.6,40.5,36.9,49.6,46.1
South Dakota St.,59.7,51.5,35.2,21.3,24,24.2,15.3,15.8,44.2,35.2,56.3,50.6,76,74.1,34.3,41.4,47.3,43.7
St. Bonaventure,50.4,50,26.5,22.9,27.3,27.2,15.8,19.2,32.5,34.1,51.2,49.1,75,71.7,31.4,44.6,52.3,58.9
Florida Gulf Coast,53.3,50.5,29.2,24,30.4,27.2,18.8,15.7,35.2,33.9,53.6,50.3,69,68,46.7,38.7,56,49.8
Texas Tech,52.4,45.5,36.1,32.1,33.3,26.1,20.3,23.6,31.4,31.3,55.1,44.3,69.9,68.3,34.4,45.6,52.3,53.8
Mount St. Mary's,48.6,48.6,26.3,26.2,31,29.1,20.1,18.9,33.9,33.9,47.6,47.4,68.5,74.6,30.4,33,53.3,45.8
Nevada,50.6,52.4,32,29.7,24.5,26.1,18.4,18.3,33,35.9,51.3,51.2,74.9,72.6,36.3,43.9,56.3,55.9
Oregon,51.4,49.6,29.8,29,29.6,30.7,17.1,19.3,33.8,32.5,51.8,50.1,67.8,70.6,35.6,37.5,44.6,50
Akron,52.8,49.3,40.1,26.2,29.1,26.3,17.7,17.6,35.6,34.7,52.4,47.8,69.2,70.3,41.7,35.3,48.8,40.3
Long Beach St.,49.2,51.6,37,27.9,27.4,27,18.2,20,35.7,35.5,47.2,50.7,72.3,74.3,31.4,39.1,49,52.2
San Diego,46.7,49.2,25.5,23.7,26.3,26.4,18.6,16,32.1,33.2,46.2,49,71.2,73.5,27.6,27.8,39.1,48.9
Southern Miss,46.9,54.1,26.7,28.1,23.7,28.4,19.7,15.9,31,37.4,47,52.6,68.7,71.5,29.9,42.7,50.2,56.9
Iowa,53.6,49.8,30.4,26.2,32.2,30.2,12.9,19.3,36.8,32.9,52.6,50,74.9,70.6,39.2,36.5,53.8,54.5
Baylor,52.9,47.8,28.5,26.9,36.3,28.4,18.2,22.9,34.6,29.9,53.5,49.5,69.8,70.1,37.7,35.9,56.1,55.5
Sam Houston St.,48.3,48.6,25,34.7,30.6,26.3,18.5,20.8,33.6,31.9,46.8,49.1,60.5,73.3,42.3,42.8,53.1,55.6
Bellarmine,53.3,54.4,22.1,30.2,22.4,30.5,15,17.7,34.2,35,54.8,56.1,74.8,70.5,41.9,47.1,52.4,52.4
Rhode Island,50.6,46.3,36.1,32.7,28.6,27.6,20.8,19.3,33.8,32.6,50.5,44.5,61.9,73.4,28.9,41.8,53.9,57.4
LIU Brooklyn,48.4,48.5,30.4,29.7,30.6,29.7,18.5,18.2,31,32,49.6,48.8,68.1,72.3,40,41.3,61.7,50.9
Brown,49.4,51.1,31.6,33.2,28.2,28.1,19.1,19.5,31.7,33.9,50.6,51.3,69.5,69.7,38.9,38.2,46.6,46.6
Texas St.,51,50.7,32.9,34.4,30.8,29.3,18.8,21.8,37.2,35.1,48.9,49.5,75.1,72.9,30.5,39.7,46.8,55.2
East Tennessee St.,51.8,53.1,21.7,26.1,30.6,31.1,17,16.6,35.1,34.2,51.1,54.7,70.4,71.2,42.2,46.7,48.3,55.8
Wagner,49.9,48.1,32.1,39.3,33.5,27.5,18,22.3,28.5,29.7,53,50.4,72.1,66.7,30.1,39.5,51.9,51.8
UMBC,52.6,52.8,31.1,19.7,21.9,28.8,16.2,16.6,38.3,35.2,48.9,52.7,78.2,65.6,42.6,36.6,49,46.2
West Virginia,46.8,50.6,36.1,34.1,30,33.6,18.2,22.5,32.8,32.4,45.7,51.7,72.4,71.2,33.7,36.9,44.4,53.2
Oregon St.,49.2,55,27.6,29.1,26.2,34,18.2,17.5,31.9,35.9,49.8,55.8,70.9,71.6,30.8,39.9,47.3,52.5
Northern Iowa,52.6,53.8,34.3,23.1,21.2,21.4,16.3,18.3,34.4,35.4,53.3,54.4,79.1,73.3,42.7,48.7,44,50.4
Kent St.,49.7,48.5,32.5,36,31,26.6,18.7,19.6,32.1,31.3,50.7,49.6,74.7,71.2,39.7,42.5,49.1,51.5
Wake Forest,56.2,47.3,32.7,28.5,27.1,26.2,18.9,17.4,35.1,32.5,58.8,46.5,72.9,70.1,42,36.3,53,49.2
Lafayette,50.6,53.7,20.9,25.8,22.4,30,16.4,17.2,32.8,38,51.9,51.8,68.3,69.1,45.6,36.2,64.5,52.1
Kennesaw St.,51.8,53.1,29.7,35.3,28.7,27.9,17.4,18.2,36.2,36.2,50.3,52.1,65.9,70.3,38,41.5,49.9,54.6
Nebraska Omaha,49.3,56.3,28.3,37.4,24.6,30,19.3,14.7,35.8,39.9,46.9,54,73.1,73.4,34.3,39,43.4,48.7
Portland,49.9,50.2,33.5,25.8,24,27.2,18.2,17.2,34.9,35.1,48.3,48.5,80.4,72.8,38.2,40.3,54.8,47.3
James Madison,51.1,53.3,30.6,27.5,25.9,31.5,17.7,20.6,34.2,33.7,50.9,55.7,70.5,74.5,35.5,46.8,45.6,59
Maine,46.9,54.9,20.4,32.8,24,30.4,19.3,18.3,31,38.6,47,53.3,70.5,72.4,38.6,35.2,55.6,49.3
Florida St.,49,52.2,30.3,30.4,31.7,31.1,18.1,21,33.1,36.9,48.7,50,70.8,71,34.1,42.3,55.3,55.1
Tennessee,50.3,46.2,29.6,31.6,32.8,27.4,18,22.9,35.8,31.2,48,45.8,71.2,70.6,40.7,39.4,62.3,51.3
Ohio St.,54.8,47.9,33.5,29.2,28.8,28.6,16.7,15.3,37.3,34,54,46.2,76,73.4,39.7,35.3,49,47.4
UNC Wilmington,47.4,50.6,33.4,34.1,28.6,31.9,15.4,20.2,32.3,36.4,46.8,48.7,72.4,67.4,36.9,31.4,42.2,40.7
Kansas,54.1,46.9,32.8,27.8,33.4,28.9,17.8,18.4,35.5,30.1,54.5,47.9,72.4,70.7,33.8,34.2,53.9,47.5
Drake,50.6,49.3,28.4,33.3,30.5,25.9,15.8,19.7,32.3,33,51.6,49.2,75.9,73.5,33.9,38.3,42.4,43.7
Santa Clara,54.5,48.5,27.6,21.2,23.4,26.2,16.2,16.5,37.8,34.8,53.5,46.7,76.2,76.2,32.1,32.6,52.5,49.6
Cal Poly,46.1,48.1,36.3,36.8,27.3,26.9,22.6,17,29.5,36.2,47.2,44.5,73.1,75.6,35.5,36.4,50.8,50.2
Coastal Carolina,49.8,45.6,32.2,25.8,33.3,29.4,20.7,17.2,35.7,28.9,47.7,47.5,69.1,71.1,35.9,46.6,49.8,55.7
UCLA,50.6,47.7,29.8,29.2,31.9,24.8,13.4,19.7,35.2,32.2,49.6,47.3,73.6,72.3,31.5,37.8,49.9,51.1
McNeese St.,48.6,52,37.5,40.2,33.2,28.9,22,17.7,30.6,34.7,49.9,52,65.4,72.8,33.4,34,42.3,51.1
Massachusetts,51.3,55.2,32.8,29.3,29.3,29.7,16.6,18,37.1,37.4,48,54.7,75.8,72.8,43.1,35.8,53.1,57.5
Incarnate Word,48.4,56.8,27.4,30,22.3,32.4,19.9,18,33.8,37.1,46.5,57.4,80.9,71.1,45,35.8,48.6,48.9
UC Riverside,50.7,47.1,26.9,28.2,22.4,22.4,18.4,16.1,32.3,30.2,52.2,47.8,72.9,72.3,40,29.7,53.6,48.4
Rutgers,49.5,48.3,26.9,28.8,29.3,27.1,17.3,18.2,33.6,34,49.1,46.5,70.1,73,31.4,40.2,58.7,52.9
Delaware,53.5,49.3,34.6,29.3,26.8,31.2,18.4,18.5,35,34.9,54.2,47.5,74.2,75.7,38.2,35.6,48.1,45
Tennessee Tech,49.2,51.5,24,24,30.9,30.5,18.9,18.1,32.9,32.4,49.2,53.4,66.1,73.4,32.4,40,55.4,62.4
Lamar,44.5,52.9,26.2,38.5,30,31.7,21.5,17.8,30.2,35.5,44.1,52.7,68.5,70.8,30.6,42.7,48.6,67.7
Sacramento St.,48.8,52.6,28.3,33.7,21.4,27.6,16.7,17.7,35.1,34.2,46.9,53.4,68.9,72.4,33.3,36.8,44.1,52.8
Little Rock,47.9,56.3,32.3,31,23.5,30.6,20.3,20,33.3,38.4,46.6,55.5,73.2,71.4,38.7,39.5,54.7,57.5
Duke,55.6,47,28.6,18.9,31.9,28.5,14.9,16.1,36.8,31.4,55.8,46.9,72.9,67.2,36.6,33.8,56.6,51.8
La Salle,47.8,50,25.1,31,29,27.4,19,16.7,32,35.9,47.6,47.8,68.7,70.7,39.9,36.7,53.8,56
Montana St.,54.1,48.6,40.5,36.2,26.7,23.3,18.5,18.3,37.2,32.8,53.2,48.2,74.8,75.8,36,35.9,47.3,38.8
Mississippi St.,49.6,49.6,38.1,28.3,34.1,25.7,19.5,19.4,29.5,31.9,51.7,50.9,72.1,72.6,28.1,41.7,52.9,57.9
Missouri St.,54.6,48.8,27.7,28,25.8,24,15.5,15.7,36.4,33.6,54.6,47.8,79.9,75.9,37.4,38.2,42.3,43.8
BYU,51.2,47.8,28.1,30.5,30.9,22.5,18.6,15.2,34.6,30.5,50.8,48.9,73.1,68.1,36.6,36.8,50.9,48.8
Stony Brook,50.3,52.6,27.7,23.8,27.4,29.7,15.5,17.4,34,33.6,49.9,54.1,75.2,68.4,40.1,40.5,41.6,50.8
Eastern Washington,52.7,50.3,33.1,30.9,25.4,25.9,18.3,15.7,35.9,33.8,51.9,50,75.7,75.9,42.6,41.4,58.5,47.2
Western Illinois,50.2,52.7,29.4,31.8,29.3,22.6,16.1,17.3,33.5,37.7,50.1,50.8,71.6,77.5,41.3,33,40.9,44.4
Western Kentucky,52.8,50.7,31.3,16.5,25.1,30.4,17.6,19.9,35.9,35.6,52.1,48.6,71.6,72.2,36.5,43.3,48.9,59.4
Iona,50.7,46.4,37.6,34.1,31.6,29.4,17.8,19,33.3,30.3,51.1,46.9,69.7,70.5,36.2,33,61.1,47.5
Arizona St.,47.1,46.3,21.2,32.3,24.9,30.3,17.3,19.6,30.7,31.1,47.7,46.1,66.1,72.1,37.2,41,53.4,57.4
Utah Valley,50.6,45.4,38.1,28.3,32,24.5,22.1,15.6,36.8,29,48.7,46.6,70.9,67.9,30,37.2,57.8,51.2
Portland St.,47.1,52.7,31.6,39.4,26.1,31.8,17,23.4,29.7,36.7,48.4,51.2,74.2,69.4,34,37.4,41.1,49
American,49.6,53.3,25.6,28.9,25,29,20.2,17.4,33.1,34.7,49.6,53.9,69.4,69.2,28,34.2,49.9,50.6
New Hampshire,50.9,50.4,25.4,26.6,27.9,21.9,14.8,14,36.6,34.2,48.1,49.8,67.3,74.5,41.2,39.4,48.4,41
Bucknell,52.8,53.8,28.3,22.9,21.8,30,19.3,13.7,37.6,37.4,50.6,52.3,76.5,74.9,37.6,38.2,57.2,52.2
Loyola MD,50.4,51.4,25,30.7,25.2,26.1,19.5,20.6,32.1,34.3,51.7,51.3,69.1,71.9,38.2,37.9,58.9,54.4
Niagara,49.3,48.2,28.1,28.8,23.1,27.1,16.7,17.1,34,33.6,48.2,46.9,73.4,74.9,36.1,36.5,48.3,52.3
New Orleans,50,49.7,42.1,32.8,25.4,31.1,19.3,19.6,31.2,31.6,51,51.1,73.8,70.5,22.3,38.9,45.4,54.6
Northern Kentucky,49.5,49.5,26.6,25,36,31,19.9,21.1,34.1,32.4,48.3,50,71.2,75.4,41.6,39.8,53,56.7
UNC Greensboro,49.8,50.4,27.2,28.5,32.3,24.9,20.3,18.7,34.2,34.7,48.7,48.8,72.2,75.9,39.2,49.5,51.2,56.8
Liberty,55.5,48.3,28.4,31.4,22.2,22.8,18,17.1,38.1,34.2,54,46.3,76.7,72.4,49.7,40.7,56.3,48
Connecticut,49.6,45.7,30.6,31.9,38,27.5,17.4,18,35.3,34.5,47.8,42.8,75,68,34.2,32.6,52.2,44.2
San Diego St.,48.8,44,31.3,30.6,29.6,27,19.3,21.7,35.8,30.4,46.6,43.1,69.5,67.3,30.8,38.2,49.7,51
South Carolina,47.3,47.3,29.2,41.6,33.6,32.1,21.4,21.5,31.3,32,47.4,46.9,67.1,70.1,34.7,35.6,52.6,55.4
UT Arlington,45.7,49.4,29.7,32.3,30.5,31.7,20.3,20.3,31,35.5,45.3,46.8,69.4,70.7,34.5,39.1,55.7,65.1
USC,51.1,44.7,30.9,26.3,33.8,27.2,17.7,14.7,35.4,33.7,50.1,41.6,66.6,71.3,32,34.5,52.8,50
Jacksonville St.,54.2,48,32.2,21.1,28.3,26.2,20,17.1,38.2,32.5,51.8,47.4,68.3,77.4,42.7,44.9,53.9,53.1
Northwestern St.,49.5,53.2,25,34.1,27.8,32.2,20.1,17.1,34.4,34,48.4,54.4,70.2,74.2,34.2,34.7,53.3,48.5
Winthrop,56.4,51,37.5,33.5,25.3,27.5,21.2,19.3,37,35.9,57,49.1,69.5,70.9,42.6,40.2,49.9,44.5
Montana,50.2,51.8,38.5,42.8,18.1,26.8,15.7,19.1,33.9,37.5,49.9,49.9,78.8,73,35.8,30.2,49.1,44.4
Columbia,48.5,54.8,26.1,25.1,27.5,28.8,21.5,16.4,34.9,37.8,46.4,53.4,62.7,73.6,36.1,42.6,47.4,52.4
Cal St. Fullerton,49.2,50.8,35.7,26.1,29,28,18.1,20.2,33.5,37.1,48.7,48,76.4,69.1,30,36.4,44.7,54.2
New Mexico,49.4,52,32.8,35.6,24,29.1,16.1,18,34.4,32.9,48.1,53.5,74.8,73.3,37.8,34.5,44.5,52.3
Siena,48.7,49.1,28.9,29.2,24.5,28.5,18.4,17.3,35.6,33.3,46.3,48.7,73.3,70.6,34,29.9,42.1,44.3
Colorado St.,55.2,49.9,30.4,25,21.9,24.9,15.1,18.4,35.7,32.7,56.3,50.5,77.4,70.9,39,44.3,53.5,50.4
Michigan,52.3,50.3,28.9,26.6,31.2,23.8,17.1,15,34,33,53,50.8,74.6,72.9,32.3,33.9,52.4,41.6
Georgia Tech,49.6,50.1,25,31.5,25,28.1,18.9,18.8,34.4,32.1,48.6,51.4,69.3,72.7,34.5,38.5,53.1,58.8
Milwaukee,47.7,47.5,28,29.1,25.9,30.1,19.6,14.9,31.9,33.8,47.5,45.3,71.5,76.9,34.7,41.5,48.1,53.3
Buffalo,51.6,48.2,25.6,29.4,37,27.9,18.6,15.8,34.4,31.9,51.6,48.3,71.6,71,37.2,32.1,50.1,42.4
North Carolina,52.1,49.8,29.6,21.5,30.4,20.8,16.5,14.1,36.2,34.9,50.7,48.3,77.2,73.7,37.4,36.9,53.6,48
Colgate,55.9,49,26.8,24.3,26.5,24.8,16.9,16.2,40.2,33.7,52.7,48.2,69.3,67.1,42,35.9,61.7,52.9
Georgia Southern,47.8,48.2,31.6,35.5,27.7,31,21.1,18.9,29.2,33,50.1,47.3,67.1,69.2,36.3,39.4,48.2,50.3
Youngstown St.,51.3,51.1,29.7,29.7,30.1,28.3,17.1,17.2,34.5,35,50.9,50.4,76.1,72.2,38.7,36.1,45.7,50.1
Wyoming,52.3,47.1,37.1,24.8,25.5,24.6,17.1,15.7,33,30.1,54.4,48.4,72.3,72.2,41.8,38.2,43.4,42.3
Oklahoma St.,48,45.7,33,31.2,32.3,31.4,21.4,22.8,29.5,32.4,49.8,43.7,66.7,72.5,31.4,40.1,50.4,51
TCU,48.9,47.7,31.2,26.7,37.8,26.1,21.6,18.4,30.3,31.5,50.5,47.9,66.8,71.2,32,34.6,53.9,54.2
Monmouth,47.5,47.3,36.9,33.6,29.4,27.9,17.3,17.8,33.1,32.3,46.3,46.6,72.8,71.3,34,40.8,49.6,50.3
Hampton,44.1,47.4,36.5,37.9,22.1,31,18,16.2,29.3,29.8,44.1,48.8,69.7,66.4,35.2,33.6,45.1,45.2
Miami FL,54.2,53.4,28.9,24.6,23.4,30.3,14.2,20.3,35.3,35.2,54.9,53.9,74.3,69.1,35.9,39.4,50.8,56.6
San Jose St.,49.7,53.5,22.5,27,22,30.5,20,15.7,34.3,35.8,48.2,53.4,65.6,72.3,44.9,34,53.8,52.5
Illinois,53.1,46.3,31.7,28.4,33.4,25.8,17.7,15.6,36.7,32.2,51.7,45.5,70.8,72.1,42.7,29.6,57.7,41.7
Idaho St.,47.4,53.2,33,35.2,27.6,27.5,21.1,16.7,29.6,34.1,49.6,54.5,68.4,73.5,42.2,36.7,45.8,45.7
Michigan St.,52,47.5,30.4,28.3,30.7,27,19.2,15.3,37.8,31.2,49.7,47.9,74.7,70.9,33.4,37.8,60.7,51.7
DePaul,48.8,48.8,33.4,26,31.7,28.5,17.4,16.8,31.7,33.7,49.4,47.8,69.3,74.9,34.2,35.3,43.4,48.2
Stephen F. Austin,51.4,48.8,36.9,37.5,34.7,31.9,22.3,24.3,32.3,31.1,52.7,50.1,67.7,72.1,30.9,39.1,53.8,54.4
Arkansas,49.2,47.5,37.9,32.3,30.9,25.8,17.4,20.6,30.7,32.8,50.9,46.4,75.3,73.2,34.3,39.2,52.9,54.4
UAB,52.9,47.9,29.5,31.5,33.4,27.4,16.3,21.4,38.3,32.4,50.6,47.5,73.9,71.1,32.7,37.1,44.2,45.9
Holy Cross,45.1,53.2,28.6,30.8,27.3,29.4,18.2,17.6,33.1,36.1,43.2,52.7,71.2,68.7,28.8,33,41.5,51.7
Hofstra,53.4,54.4,21.7,26.3,23.3,26.9,14.7,20.4,33.8,38.3,55.6,52.1,79.7,73.6,44.6,42.5,52.5,57.3
Central Arkansas,48.2,54.8,23.1,29.8,26.2,30.9,18.8,16.4,29.5,35.3,50.3,55.8,75.4,72.3,35.2,36.4,50.8,52.7
California,46.9,47.5,25.3,31.5,25.5,23.4,17.1,14.7,30.8,30.9,47.2,48.1,72.7,75.9,31.6,35.1,45.1,42.2
Ball St.,51.3,52.4,38.1,32.8,26.8,28.3,19.5,17.1,35.7,36.3,49.8,50.8,69.6,71.8,41.2,42.9,51.5,50.3
LSU,49.5,45.1,33,38.4,33.7,31.2,20.4,25.3,31.9,28,50.5,47.7,73.2,69,34.6,45.9,48.7,54
Florida,49.9,49.2,34.7,30.1,31.7,32.5,18.5,21.6,30.7,32.7,53.2,49.3,73.5,70.1,46.1,32.8,53.1,47.9
Louisiana Lafayette,48.6,46.9,35.5,35.5,33.6,27.6,22,18.4,34.3,32.2,47,46.2,71.1,75,36.9,33.6,50.4,51.4
Jackson St.,45.3,47.7,26.5,36.6,31.4,27.9,19.9,18.3,30,32.2,45.5,47.5,63.4,69.1,30.4,29.6,46.8,48.4
Southeastern Louisiana,52,53.8,39,27.5,25.4,33.2,19.9,19.7,34.5,34.2,52.1,55.2,76.2,72.2,43.3,37,55.9,48.4
UNLV,49.1,48.4,30.7,30.8,27.1,25.9,17,17.2,33.2,31.9,48.6,48.8,73.8,72.2,42.8,41.7,56.1,53.3
Towson,51.6,47.9,33.9,31.9,35.7,26.5,17.9,19.5,35.7,31.5,50.4,48.4,71.9,71.7,38.2,41.4,52.6,45.9
North Texas,51.4,46,38.1,32.7,31.5,25,18.7,19.8,35.8,27.9,49.7,47.7,65,68.8,42.2,29.6,48.6,39.7
Stetson,48.8,53,25.6,26.8,28.2,27.5,19.5,16.1,34.9,34.9,46.5,53.5,69.9,69.2,40.2,41.7,55,55.3
Green Bay,46.5,53,32,31.7,26.6,28.7,19.9,18.1,28,34.7,48.9,53.6,71.1,76.8,34.4,34.8,47.6,47.5
Southeast Missouri St.,51.6,52.4,36.7,39.6,25.8,28.9,17.8,18.1,35.4,34.6,50.6,52.8,73,73.3,43.2,38.1,54.2,49.4
Saint Mary's,52.6,48.3,23.2,24.4,27.3,21.9,17.1,19.5,35.1,34.4,52.6,47,76.7,71.4,36.1,28.8,51,35.9
Evansville,46.9,56.1,24.6,31,14.4,22.3,17.2,17.9,32.6,38.4,45.2,55.3,71.5,73.4,47.1,33.7,50.7,46.5
Oklahoma,54.7,49.1,27.9,26.5,25.7,26.4,22,20.4,34.4,31.2,56.8,50.3,74.6,73.8,41.1,34.4,54.9,44.4
Princeton,56.7,51.3,21.3,21.7,24.8,23.5,14.5,15.5,38.4,33.6,55.9,51.6,64,73.4,44.9,31.3,49.2,40.1
Georgia St.,45.1,49.7,30.2,32.8,32.8,30.7,16.9,22.7,32.3,37.9,43.1,45.4,71.6,70,36.9,38.1,52.5,56.7
Syracuse,52.5,50.6,28.3,23.5,29.2,32.1,15.4,16.7,37.6,33,49.9,51.6,73.7,75.1,39.3,48.7,52.2,70.2
Boise St.,51.1,48.2,35.2,25.8,30.6,21.9,18.5,20.1,34.1,32.4,51.1,48,65,72.1,38.6,33.2,46.8,43.3
Marist,50.4,48.3,25,28.5,26.4,27.1,18.2,16.7,34.4,33.4,49.7,47.1,71.9,72.8,37.7,40.9,35.3,54.8
Miami OH,50.3,53.5,23.7,30.4,26,30.2,15,18,34.3,36.7,49.5,52.5,80,72.6,42.4,40.4,49.2,50.8
Mercer,52.9,52.8,29.3,28.5,24.5,26.5,18.3,15.8,35.3,34.9,52.9,53.2,77.5,72.7,42.4,41.9,56.7,51.7
Florida Atlantic,53.6,50.5,29.6,32.3,31.2,26,19.8,19.3,35,37.3,54.4,47.8,71.7,69.8,42.7,33.4,49.2,43.4
Arkansas St.,49.3,49.2,34.5,28.2,29.4,28.4,20.6,19.3,31.9,33.3,50,48.8,74.5,70.3,31.5,33.3,60.5,47.8
Vermont,57.3,47.7,26.6,22.6,24,18.6,14.9,17.1,36.8,34.4,58.9,45.2,74.7,68.4,43.1,37.6,54.9,43.5
