,team,This matches from B to L,adjoe,adjde,TO%,FTR Def,3pD%,2p%,Adj_OtoD_Margin,gilgo_score,,Team,This matches from L to B,,This matches from B to L
55,Princeton,Princeton,118.4804243,104.9063462,13.7,24.6,33.3,59.6,13.57407802,2.802487595,,Providence,Providence,,Princeton
46,Xavier,Xavier,110.2241369,95.00679825,17.5,29,29.5,48.9,15.21733866,2.738076583,,Arkansas St.,Arkansas St.,,Xavier
30,Saint Mary's,#N/A,109.8522396,92.78365336,18.3,37.7,33.5,51.3,17.06858624,2.671487603,,Tennessee,Tennessee,,Saint Mary's
42,New Mexico,New Mexico,111.0449985,95.36009244,14.9,37.1,31.7,51.6,15.68490603,2.607742677,,Ohio,Ohio,,New Mexico
40,SMU,#N/A,108.2234429,92.85528322,18.4,33,26.9,51.3,15.36815968,2.584877406,,Utah St.,Utah St.,,SMU
44,Providence,Providence,104.4573879,89.88090897,18.9,26,30.5,54.8,14.57647896,2.489452168,,Dayton,Dayton,,Providence
48,Texas A&M,#N/A,115.8620941,100.9922753,16,31.8,33.5,48.9,14.86981883,2.196289487,,Marquette,Marquette,,Texas A&M
47,Boise St.,#N/A,109.4188754,95.19447477,17.3,33,29.1,50.1,14.2244006,1.859984364,,Nicholls St.,Nicholls St.,,Boise St.
51,Washington,Washington,114.7438294,100.6674586,16.1,34.1,31.8,53,14.07637075,1.73943616,,Fort Wayne,Fort Wayne,,Washington
53,Northwestern,Northwestern,113.7009458,99.76364566,13.4,35.5,35.5,52.2,13.9373001,1.657303058,,Louisiana Lafayette,Louisiana Lafayette,,Northwestern
52,Oregon,Oregon,114.8427596,100.7587091,15.6,35.5,34.4,53.4,14.08405051,1.501220813,,High Point,High Point,,Oregon
58,Wake Forest,Wake Forest,115.5023395,102.6640646,15.4,28.5,34.3,53.8,12.83827495,1.449397718,,Portland St.,Portland St.,,Wake Forest
61,Iowa,Iowa,114.5110498,102.1503536,13.6,28.6,35,53.2,12.36069622,1.377124697,,Idaho St.,Idaho St.,,Iowa
60,Pittsburgh,Pittsburgh,109.559726,97.69624131,14.5,29.1,28.1,50.9,11.86348466,1.358875643,,Purdue,Purdue,,Pittsburgh
62,Virginia,Virginia,105.9686364,94.69579552,13.4,26.4,29.9,50.2,11.27284087,1.270832931,,BYU,BYU,,Virginia
66,Boston College,Boston College,115.6522905,103.8803434,13.5,26.3,36.3,52.7,11.7719471,1.13083773,,Montana St.,Montana St.,,Boston College
70,Richmond,Richmond,106.3731804,95.96610045,12.3,26,29.1,53.3,10.40707999,1.121918793,,Eastern Michigan,Eastern Michigan,,Richmond
54,Kansas St.,#N/A,109.0609458,96.30828759,20,24.5,33.2,52.4,12.75265819,1.044371497,,Fresno St.,Fresno St.,,Kansas St.
65,Mississippi,Mississippi,114.3247256,102.6875416,15.2,26.7,31,49.1,11.63718407,1.041632283,,Marist,Marist,,Mississippi
57,Saint Joseph's,#N/A,109.0753842,96.87879456,16.7,32.3,29.1,53.9,12.19658967,0.903269701,,Drake,Drake,,Saint Joseph's
56,South Carolina,South Carolina,112.5193057,99.84966394,15.9,31.4,34.7,51.4,12.66964176,0.887381474,,Washington,Washington,,South Carolina
59,Memphis,Memphis,109.8785365,97.85887611,18.6,27.1,30.9,52.4,12.01966039,0.773342837,,Wichita St.,Wichita St.,,Memphis
67,North Carolina St.,#N/A,111.4325306,100.166368,12.5,33.8,33.1,51.1,11.26616267,0.497059226,,Stetson,Stetson,,North Carolina St.
50,North Texas,North Texas,107.9185043,94.55810813,20,37.4,29.6,47.7,13.36039614,0.355941646,,West Virginia,West Virginia,,North Texas
64,St. Bonaventure,#N/A,111.2415202,99.66077931,16.9,33.8,30.1,53.1,11.58074091,0.249751958,,Mississippi,Mississippi,,St. Bonaventure
73,Southern Illinois,Southern Illinois,111.4320567,101.1504215,16.6,33.2,25.8,53,10.28163521,-0.095202523,,Morehead St.,Morehead St.,,Southern Illinois
71,Michigan,Michigan,116.8201842,105.4773632,18.6,28.9,35.6,55.3,11.34282097,-0.096829207,,Indiana,Indiana,,Michigan
68,Virginia Tech,Virginia Tech,108.4337128,97.6896004,17.5,30.6,31.4,52.5,10.74411241,-0.184191429,,Texas Tech,Texas Tech,,Virginia Tech
69,Washington St.,#N/A,110.3622117,99.45416484,16.1,34.9,32.1,53.8,10.90804683,-0.268041434,,Michigan St.,Michigan St.,,Washington St.
77,Georgia,Georgia,107.6461116,98.13180933,16.1,26.2,30.2,49.4,9.514302262,-0.28477562,,Mercer,Mercer,,Georgia
82,Stanford,Stanford,110.611637,101.1510758,18.2,23.9,34.4,54.7,9.460561212,-0.63230766,,New Mexico,New Mexico,,Stanford
72,USC,#N/A,113.4399218,102.4618565,18.7,30.6,36.3,52.3,10.97806533,-0.641080151,,Georgia,Georgia,,USC
84,UNLV,UNLV,112.0850486,102.845261,15.3,28.1,33.6,53.5,9.239787585,-0.644479573,,Southeastern Louisiana,Southeastern Louisiana,,UNLV
63,San Francisco,San Francisco,107.6017797,96.2691442,19.4,38.2,30.5,56.8,11.33263546,-0.653992369,,Ohio St.,Ohio St.,,San Francisco
83,Minnesota,Minnesota,110.2081104,100.837073,17.9,26.6,33,57.3,9.371037442,-0.69896716,,North Carolina,North Carolina,,Minnesota
80,James Madison,James Madison,111.8354945,102.1855743,14.9,37.2,29.5,55.2,9.649920219,-0.798948666,,Weber St.,Weber St.,,James Madison
75,Grand Canyon,#N/A,112.5056399,102.2586509,17.7,34,32.6,55.8,10.24698906,-0.835936675,,San Diego St.,San Diego St.,,#N/A
78,Syracuse,Syracuse,106.6110848,97.20009057,17.7,28.7,31.9,51,9.410994219,-0.938343527,,Saint Louis,Saint Louis,,Syracuse
79,George Mason,George Mason,108.3726668,99.01572829,17.4,30.2,33.5,52.6,9.356938498,-1.141167516,,LSU,LSU,,George Mason
81,Seton Hall,Seton Hall,112.2333346,102.5635515,19.9,28.2,33.9,52.3,9.669783087,-1.224332317,,Howard,Howard,,Seton Hall
90,Liberty,Liberty,110.4092766,102.1821387,14.7,31.7,32,55.9,8.227137822,-1.297995928,,Lafayette,Lafayette,,Liberty
76,Massachusetts,Massachusetts,111.6412821,101.6943441,15.5,41.4,31.5,54.1,9.946938048,-1.304267791,,Illinois Chicago,Illinois Chicago,,Massachusetts
99,Weber St.,#N/A,110.4023872,102.8767595,14.5,24.7,33.6,51.2,7.525627704,-1.306817101,,Wright St.,Wright St.,,Weber St.
100,Arizona St.,#N/A,102.4229726,95.45143029,15.5,24.2,30.4,48.9,6.971542274,-1.579059213,,Butler,Butler,,Arizona St.
106,Appalachian St.,#N/A,106.645766,100.1905208,14.2,24.2,32.8,56.5,6.455245204,-1.639600425,,Stanford,Stanford,,Appalachian St.
86,Oklahoma St.,#N/A,107.8129306,99.2213992,19.2,28.6,32.7,54,8.591531349,-1.654865877,,Old Dominion,Old Dominion,,Oklahoma St.
89,Hofstra,Hofstra,109.0414071,100.9077235,16.3,28.2,36.2,55,8.133683638,-1.659552981,,Florida Gulf Coast,Florida Gulf Coast,,Hofstra
93,Drake,Drake,111.5427832,103.6242977,15,31.8,34.8,57.6,7.918485456,-1.719023872,,Miami FL,Miami FL,,Drake
74,UCF,#N/A,103.0629355,93.64580038,17.9,38.8,31.6,49.2,9.417135152,-1.942547557,,Southern Utah,Southern Utah,,UCF
105,College of Charleston,#N/A,110.7572021,103.5562242,15.9,28.7,33.2,51.6,7.200977942,-2.070053456,,Jacksonville,Jacksonville,,College of Charleston
101,Indiana,Indiana,108.2279528,100.9468781,17.8,28.2,33.7,54,7.28107473,-2.261644415,,UCLA,UCLA,,Indiana
87,Duquesne,Duquesne,109.8335631,101.2251061,17.1,36.2,34.6,49.7,8.608456988,-2.283341237,,Northern Arizona,Northern Arizona,,Duquesne
104,Yale,Yale,109.2184044,102.082057,15.3,28.7,35.9,49.6,7.136347415,-2.284678077,,VCU,VCU,,Yale
88,Seattle,#N/A,103.6065175,95.83771561,19.7,35.2,26.3,51.4,7.768801912,-2.423830834,,Arizona St.,Arizona St.,,#N/A
107,Charlotte,Charlotte,106.5529562,100.1179436,15.9,29.5,31.5,52.8,6.435012607,-2.44009231,,Chattanooga,Chattanooga,,Charlotte
