,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
30,St. John's,113.2,92.5,0.911,9–1,9,10,47.9,49.3,32.7,31.5,15.3,21.8,38.9,31.2,68.9,49.3,50.8,29.9,31.6,12.8,11.1,58.8,61.7,31.6,45,70.4,78.203,80.544,2.112,"2,025",0,0,64.386,,66.8,69.8,1.089,0.983,34.701,St. John's
31,West Virginia,110.7,90.7,0.908,6–5,6,11,49.9,47.3,20.5,34.3,15.7,18.4,24.3,29.5,64.6,50.7,48,32.6,30.7,10.5,8.1,60,49,45.4,37.9,64.7,77.101,80.398,1.882,"2,025",0,0,39.179,,66.2,74.3,1.002,1.004,43.204,West Virginia
32,Arkansas,115.4,94.7,0.907,7–4,7,11,53.4,49.1,43.3,29.6,16.3,15.8,24.3,29.3,71.1,53.8,49.7,35.2,32.2,14.3,6.8,55.2,51,35.2,37.5,69.9,78.1,81.813,1.353,"2,025",0,0,74.92,,74.1,73.3,1.078,1.055,50.062,Arkansas
33,North Carolina,126.4,104.3,0.901,7–3,7,10,58.5,54.1,32.1,29.2,15.1,15.4,32.9,26.9,67.4,55.3,51.2,42.6,39.3,9,11.2,51.5,49.1,37,36.5,68.8,76.393,79.954,1.612,"2,025",0,0,87.196,,71.7,78.7,1.211,1.125,35.932,North Carolina
34,Illinois,127.1,104.9,0.901,6–4,6,10,53.9,52.4,31.6,27.7,14.4,12,33.2,32,69.2,61.3,48.8,30,40.5,8.1,7.5,51.9,48.1,45.4,30.4,69.6,78.834,82.021,1.183,"2,025",0,0,74.26,,77.2,77.5,1.165,1.172,47.936,Illinois
35,Connecticut,121.7,100.7,0.898,7–3,7,10,52.4,47.1,34.2,34.5,21.9,13.6,41.8,28.8,64.7,54.1,46.8,33.3,31.7,16.8,11.9,61,45.8,41.4,36.4,65,78.165,80.84,1.637,"2,025",0,0,87.521,,80.6,71.1,1.13,1.036,35.227,Connecticut
36,Oregon,118.4,98.6,0.891,7–3,7,10,50.9,50.8,28.8,28.2,14.3,17.4,32.7,28.1,67.1,49.2,53.7,35.7,30.6,12.8,10.2,52.6,46.8,38.1,37.7,66.4,77.423,81.525,2.453,"2,025",0,0,59.657,,79.2,75.9,1.118,1.053,37.796,Oregon
37,Northwestern,116.8,98.3,0.879,4–6,4,10,49.9,50.7,26.3,36.8,14.4,19.1,30.4,31.7,64.5,48.5,49.5,35,34.9,9.8,8.7,55.3,58,34.9,40.6,64.4,78.31,81.165,2.235,"2,025",0,0,35.611,,77.1,79,1.084,1.072,39.051,Northwestern
38,Mississippi,123.8,104.5,0.875,5–5,5,10,50.1,57,40.9,44.2,11.2,15.6,24.5,31.7,69.7,49.6,55.5,34,39.4,9.1,11.3,48.1,61.5,36.1,43.8,68.9,76.178,79.481,2.696,"2,025",0,0,56.41,,74.6,71.7,1.118,1.189,53.004,Mississippi
39,Creighton,117.9,99.6,0.874,7–3,7,10,55.3,47.4,27.8,17.5,17.4,9,28,25.4,66.6,62.2,45,32.3,34.3,10,11,65.7,46.8,50.2,37.2,67.2,78.946,83.088,1.959,"2,025",0,0,59.701,,70.9,70.2,1.112,1.047,32.132,Creighton
